AfterHoursChangeRealtime,AnnualizedGain,Ask,AskRealtime,AverageDailyVolume,Bid,BidRealtime,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,ChangePercentRealtime,ChangeRealtime,Change_PercentChange,ChangeinPercent,Commission,Currency,DaysHigh,DaysLow,DaysRange,DaysRangeRealtime,DaysValueChange,DaysValueChangeRealtime,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,ErrorIndicationreturnedforsymbolchangedinvalid,ExDividendDate,FiftydayMovingAverage,HighLimit,HoldingsGain,HoldingsGainPercent,HoldingsGainPercentRealtime,HoldingsGainRealtime,HoldingsValue,HoldingsValueRealtime,LastTradeDate,LastTradeDateTimeUTC,LastTradePriceOnly,LastTradeRealtimeWithTime,LastTradeTime,LastTradeWithTime,LowLimit,MarketCapRealtime,MarketCapitalization,MoreInfo,Name,Notes,OneyrTargetPrice,Open,OrderBookRealtime,PEGRatio,PERatio,PERatioRealtime,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PricePaid,PriceSales,SharesOwned,ShortRatio,StockExchange,Symbol,TickerTrend,TradeDate,TwoHundreddayMovingAverage,Volume,YearHigh,YearLow,YearRange,symbol
,,,,2543040,,,35.38,+0.46,0.67,0.17,-7.52,5.91,,,+0.46 - +0.73%,+0.73%,,USD,64.02,63.32,63.32 - 64.02,,,,3/10/2017,2.36,3.69,5.44B,3.67,0.89,3.88,1.24,,2/8/2017,63.13,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,63.80,,4:00pm,4:00pm - <b>63.80</b>,,,31.37B,,American Electric Power Company,,67.03,63.32,,11.69,51.37,,-10.54%,+0.73%,+1.06%,+0.27%,+10.21%,63.34,1.79,17.38,16.44,,1.90,,2.34,NYQ,AEP,,,63.63,1817031,71.32,57.89,57.89 - 71.32,AEP
,,,,5407830,,,4.37,+0.16,0.04,-0.36,-1.73,2.71,,,+0.16 - +1.40%,+1.40%,,USD,11.59,11.39,11.39 - 11.59,,,,2/15/2017,0.48,4.22,3.43B,0.98,0.28,1.11,-0.41,,1/30/2017,11.55,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,11.59,,4:00pm,4:00pm - <b>11.59</b>,,,7.64B,,The AES Corporation Common Stoc,,12.43,11.43,,4.28,,,-12.99%,+1.40%,+0.35%,-2.99%,+30.52%,11.43,2.61,11.83,10.44,,0.54,,1.49,NYQ,AES,,,11.95,4001963,13.32,8.88,8.88 - 13.32,AES
,,,,3289810,,,50.84,+0.66,-0.58,2.32,-15.17,24.28,,,+0.66 - +0.55%,+0.55%,,USD,121.44,119.51,119.51 - 121.44,,,,1/27/2017,1.00,0.82,6.20B,8.81,2.34,9.77,6.41,,1/10/2017,121.91,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,121.33,,4:02pm,4:02pm - <b>121.33</b>,,,42.67B,,Aetna Inc. Common Stock,,139.56,120.42,,1.00,18.93,,-11.11%,+0.55%,-0.48%,+1.95%,+25.02%,120.67,2.37,13.77,12.42,,0.67,,1.94,NYQ,AET,,,119.01,2183019,136.50,97.05,97.05 - 136.50,AET
,,,,2322790,,,50.47,+0.67,-0.06,-1.46,-4.86,14.40,,,+0.67 - +0.97%,+0.97%,,USD,69.76,68.80,68.80 - 69.76,,,,3/1/2017,1.72,2.51,4.12B,6.40,1.61,6.71,6.42,,11/14/2016,69.70,,,,,,,,2/8/2017,2017-02-08 21:01:00 UTC+0000,69.64,,4:01pm,4:01pm - <b>69.64</b>,,,28.26B,,AFLAC Incorporated Common Stock,,71.62,68.95,,1.57,10.85,,-6.52%,+0.97%,-0.09%,-2.05%,+26.08%,68.97,1.37,10.88,10.38,,1.24,,4.27,NYQ,AFL,,,71.10,2111454,74.50,55.24,55.24 - 74.50,AFL
,,,,4849240,,,221.28,+8.56,25.26,18.10,-60.15,56.67,,,+8.56 - +3.68%,+3.68%,,USD,243.80,231.53,231.53 - 243.80,,,,3/28/2017,2.80,1.21,6.81B,13.39,3.59,16.01,35.66,,,215.91,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,241.17,,4:00pm,4:00pm - <b>241.17</b>,,,90.46B,,Allergan plc Ordinary Shares,,261.21,236.09,,1.41,6.76,,-19.96%,+3.68%,+11.70%,+8.11%,+30.72%,232.61,1.05,18.01,15.06,,5.23,,5.06,NYQ,AGN,,,223.07,6587224,301.32,184.50,184.50 - 301.32,AGN
,,,,5679690,,,85.02,+0.03,-0.83,3.19,-2.56,16.50,,,+0.03 - +0.05%,+0.05%,,USD,65.04,64.50,64.50 - 65.04,,,,12/22/2016,1.28,1.97,5.33B,3.76,1.23,5.31,0.31,,12/6/2016,65.74,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,64.91,,4:00pm,4:00pm - <b>64.91</b>,,,66.67B,,"American International Group, I",,72.00,64.70,,0.69,211.43,,-3.79%,+0.05%,-1.27%,+5.17%,+34.08%,64.88,0.76,17.26,12.22,,1.25,,3.50,NYQ,AIG,,,61.72,3181863,67.47,48.41,48.41 - 67.47,AIG
,,,,1302790,,,10.69,+0.61,0.74,1.32,-2.61,9.87,,,+0.61 - +1.36%,+1.36%,,USD,45.58,44.61,44.61 - 45.58,,,,2/28/2017,1.44,3.24,573.94M,0.54,0.11,0.74,2.67,,11/16/2016,44.56,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,45.30,,4:00pm,4:00pm - <b>45.30</b>,,,7.07B,,Apartment Investment and Manage,,47.08,44.89,,11.66,16.97,,-5.45%,+1.36%,+1.67%,+3.01%,+27.86%,44.69,4.18,83.89,61.22,,7.16,,3.28,NYQ,AIV,,,43.98,1568111,47.91,35.43,35.43 - 47.91,AIV
,,,,429602,,,77.66,-6.55,-4.86,1.41,-8.53,25.84,,,-6.55 - -6.75%,-6.75%,,USD,94.98,89.55,89.55 - 94.98,,,,3/20/2017,2.12,2.16,1.09B,6.53,1.62,7.70,9.32,,11/23/2016,95.31,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,90.45,,4:00pm,4:00pm - <b>90.45</b>,,,5.16B,,"Assurant, Inc. Common Stock",,98.25,94.98,,1.83,9.70,,-8.61%,-6.75%,-5.10%,+1.58%,+39.99%,97.00,1.25,13.85,11.75,,0.67,,3.96,NYQ,AIZ,,,89.04,990656,98.97,64.61,64.61 - 98.97,AIZ
,,,,1088910,,,20.17,+0.13,1.11,3.45,-0.59,16.87,,,+0.13 - +0.24%,+0.24%,,USD,54.08,53.63,53.63 - 54.08,,,,3/17/2017,1.56,2.89,861.17M,3.03,1.06,3.39,2.32,,11/30/2016,52.95,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,54.06,,4:02pm,4:02pm - <b>54.06</b>,,,9.64B,,Arthur J. Gallagher & Co. Commo,,58.38,53.84,,1.54,23.30,,-1.08%,+0.24%,+2.10%,+6.83%,+45.36%,53.93,2.67,17.84,15.95,,1.74,,2.53,NYQ,AJG,,,50.61,632251,54.65,37.19,37.19 - 54.65,AJG
,,63.79,,1870560,63.58,,18.25,-7.57,-5.05,2.81,-8.09,17.05,,,-7.57 - -10.64%,-10.64%,,USD,66.59,61.54,61.54 - 66.59,,,,,,,713.69M,2.85,0.69,3.29,1.76,,,68.60,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,63.55,,4:00pm,4:00pm - <b>63.55</b>,,,11.01B,,"Akamai Technologies, Inc.",,69.95,66.50,,1.78,36.09,,-11.29%,-10.64%,-7.36%,+4.63%,+36.67%,71.12,3.90,22.30,19.32,,5.35,,5.93,NMS,AKAM,,,60.74,15940222,71.64,46.50,46.50 - 71.64,AKAM
,,,,886582,,,29.33,+1.55,2.43,9.15,-1.54,45.93,,,+1.55 - +1.67%,+1.67%,,USD,94.39,92.20,92.20 - 94.39,,,,1/2/2017,1.22,1.29,972.98M,3.52,0.95,4.06,1.91,,12/13/2016,91.92,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,94.35,,4:02pm,4:02pm - <b>94.35</b>,,,10.61B,,Albemarle Corporation Common St,,98.21,92.91,,4.12,49.40,,-1.61%,+1.67%,+2.64%,+10.73%,+94.86%,92.80,3.16,26.80,23.24,,2.96,,3.42,NYQ,ALB,,,85.20,661576,95.89,48.42,48.42 - 95.89,ALB
,,,,1249790,,,23.23,+3.10,5.01,20.00,-1.60,42.69,,,+3.10 - +3.29%,+3.29%,,USD,98.80,94.98,94.98 - 98.80,,,,12/1/2016,1.10,1.17,1.79B,7.19,1.24,7.78,7.13,,11/10/2016,92.19,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,97.20,,4:02pm,4:02pm - <b>97.20</b>,,,11.98B,,"Alaska Air Group, Inc. Common S",,100.65,95.10,,1.36,13.63,,-1.62%,+3.29%,+5.44%,+25.91%,+78.32%,94.10,4.05,13.52,12.49,,2.01,,6.42,NYQ,ALK,,,77.20,2683620,98.80,54.51,54.51 - 98.80,ALK
,,,,2172120,,,51.44,-0.13,3.04,7.29,-0.69,16.29,,,-0.13 - -0.17%,-0.17%,,USD,78.19,77.80,77.80 - 78.19,,,,1/3/2017,1.32,1.70,3.46B,6.22,1.20,6.88,4.67,,11/28/2016,74.95,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,77.99,,4:00pm,4:00pm - <b>77.99</b>,,,28.54B,,Allstate Corporation (The) Comm,,81.67,78.10,,0.90,16.70,,-0.88%,-0.17%,+4.05%,+10.31%,+26.40%,78.12,1.52,12.54,11.34,,0.78,,2.37,NYQ,ALL,,,70.70,1496627,78.68,61.70,61.70 - 78.68,ALL
,,,,751706,,,1.58,+0.58,1.77,-0.08,-5.89,13.15,,,+0.58 - +0.87%,+0.87%,,USD,67.80,66.72,66.72 - 67.80,,,,3/31/2017,0.64,0.95,488.30M,3.40,0.70,3.72,2.33,,12/13/2016,65.83,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,67.60,,4:02pm,4:02pm - <b>67.60</b>,,,6.49B,,Allegion plc Ordinary Shares,,76.40,67.02,,1.60,29.01,,-8.01%,+0.87%,+2.69%,-0.12%,+24.15%,67.02,42.39,19.88,18.17,,2.91,,3.79,NYQ,ALLE,,,67.68,922713,73.49,54.45,54.45 - 73.49,ALLE
,,,,2944240,92.85,,37.98,-1.35,-4.36,-0.69,-35.63,17.25,,,-1.35 - -1.06%,-1.06%,,USD,128.58,125.69,125.69 - 128.58,,,,,,,1.11B,4.63,1.31,5.54,1.64,,,130.73,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,126.37,,4:00pm,4:00pm - <b>126.37</b>,,,28.30B,,"Alexion Pharmaceuticals, Inc.",,167.93,127.12,,1.31,77.05,,-21.99%,-1.06%,-3.34%,-0.54%,+15.81%,127.72,3.36,27.29,22.81,,9.68,,1.54,NMS,ALXN,,,127.06,1758264,162.00,109.12,109.12 - 162.00,ALXN
,,37.10,,10262800,35.10,,6.70,+0.06,1.95,5.16,-0.20,20.16,,,+0.06 - +0.17%,+0.17%,,USD,35.80,35.18,35.18 - 35.80,,,,3/15/2017,0.40,1.13,2.54B,2.42,0.63,2.60,1.54,,11/22/2016,33.65,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,35.60,,4:00pm,4:00pm - <b>35.60</b>,,,38.33B,,"Applied Materials, Inc.",,36.91,35.80,,0.94,23.12,,-0.56%,+0.17%,+5.80%,+16.94%,+130.57%,35.54,5.31,14.71,13.69,,3.53,,1.65,NMS,AMAT,,,30.44,8735864,35.80,15.44,15.44 - 35.80,AMAT
,,,,2090230,,,14.57,+0.67,1.89,4.13,-0.52,9.53,,,+0.67 - +1.30%,+1.30%,,USD,52.48,51.31,51.31 - 52.48,,,,12/21/2016,0.36,0.70,1.02B,2.45,0.62,2.44,2.30,,12/5/2016,50.46,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,52.35,,4:02pm,4:02pm - <b>52.35</b>,,,12.12B,,"AMETEK, Inc.",,56.86,51.71,,1.98,22.76,,-0.98%,+1.30%,+3.75%,+8.57%,+22.26%,51.68,3.55,21.37,19.61,,3.10,,3.73,NYQ,AME,,,48.22,2368437,52.87,42.82,42.82 - 52.87,AME
,,,,643106,,,65.81,+0.95,13.98,16.29,-18.36,45.52,,,+0.95 - +0.59%,+0.59%,,USD,161.70,159.12,159.12 - 161.70,,,,2/23/2017,0.80,0.51,834.90M,14.68,3.33,16.37,8.57,,2/7/2017,147.51,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,161.49,,4:02pm,4:02pm - <b>161.49</b>,,,8.88B,,"Affiliated Managers Group, Inc.",,187.38,160.06,,0.77,18.85,,-10.21%,+0.59%,+9.48%,+11.22%,+39.25%,160.54,2.44,11.00,9.86,,4.02,,2.23,NYQ,AMG,,,145.20,732801,179.85,115.97,115.97 - 179.85,AMG
,,165.31,,3891370,164.26,,40.48,+1.30,13.08,8.84,-8.73,34.48,,,+1.30 - +0.78%,+0.78%,,USD,168.35,166.32,166.32 - 168.35,,,,3/8/2017,4.60,2.75,12.00B,12.33,3.11,12.84,10.24,,11/14/2016,155.04,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,168.12,,4:00pm,4:00pm - <b>168.12</b>,,,124.07B,,Amgen Inc.,,182.88,166.50,,2.00,16.42,,-4.94%,+0.78%,+8.43%,+5.55%,+25.80%,166.82,4.12,13.64,13.09,,5.35,,1.88,NMS,AMGN,,,159.28,3493436,176.85,133.64,133.64 - 176.85,AMGN
,,,,1246050,,,40.65,-1.60,6.99,16.82,-2.42,45.58,,,-1.60 - -1.30%,-1.30%,,USD,122.09,120.87,120.87 - 122.09,,,,2/28/2017,3.00,2.47,2.76B,10.58,2.58,11.95,7.81,,11/3/2016,114.59,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,121.58,,4:02pm,4:02pm - <b>121.58</b>,,,18.82B,,"Ameriprise Financial, Inc. Comm",,136.89,122.09,,0.79,15.57,,-1.95%,-1.30%,+6.10%,+16.06%,+59.98%,123.18,3.03,11.49,10.17,,1.62,,1.55,NYQ,AMP,,,104.76,1120825,124.00,76.00,76.00 - 124.00,AMP
,,,,2600610,,,15.76,+0.83,-0.51,-5.43,-13.96,21.23,,,+0.83 - +0.80%,+0.80%,,USD,104.43,103.36,103.36 - 104.43,,,,1/13/2017,2.32,2.20,3.31B,2.09,0.62,2.74,2.00,,12/23/2016,104.81,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,104.30,,4:00pm,4:00pm - <b>104.30</b>,,,44.40B,,American Tower Corporation (REI,,129.80,103.57,,1.51,52.20,,-11.80%,+0.80%,-0.48%,-4.95%,+25.56%,103.47,6.57,49.90,38.07,,7.97,,2.87,NYQ,AMT,,,109.74,1301940,118.26,83.07,83.07 - 118.26,AMT
,,820.69,,4159360,820.59,,40.43,+7.21,18.85,34.72,-27.50,335.71,,,+7.21 - +0.89%,+0.89%,,USD,821.48,812.50,812.50 - 821.48,,,,,,,12.30B,7.40,1.88,12.80,4.90,,,800.86,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,819.71,,4:00pm,4:00pm - <b>819.71</b>,,,391.00B,,"Amazon.com, Inc.",,926.38,812.69,,2.91,167.29,,-3.25%,+0.89%,+2.35%,+4.42%,+69.36%,812.50,20.10,110.77,64.04,,2.85,,1.59,NMS,AMZN,,,784.99,2857985,847.21,484.00,484.00 - 847.21,AMZN
