"('T', 's')"
,,,,602250,,,28.788,-1.445,-3.243,8.045,-14.495,45.865,,,-1.445 - -0.632%,-0.632%,,USD,228.640,224.380,224.380 - 228.640,,,,3/17/2017,2.080,0.920,1.57B,18.490,3.770,21.080,7.340,,11/1/2016,230.438,,,,,,,,2/10/2017,2017-02-10 19:27:00 UTC+0000,227.195,,2:27pm,2:27pm - <b>227.195</b>,,,13.09B,,Alliance Data Systems Corporati,,249.430,228.640,,1.020,30.953,,-5.997%,-0.632%,-1.407%,+3.671%,+25.294%,228.640,7.942,12.287,10.778,,1.845,,6.430,NYQ,ADS,,,219.150,324675,241.690,181.330,181.330 - 241.690,ADS
,,83.45,,2430550,83.44,,4.77,-0.43,3.52,11.42,-1.66,40.44,,,-0.43 - -0.51%,-0.51%,,USD,84.46,82.38,82.38 - 84.46,,,,,0.00,0.00,-130.10M,-0.57,-0.13,-0.12,-2.00,,3/22/2005,79.93,,,,,,,,2/10/2017,2017-02-10 18:17:00 UTC+0000,83.45,,1:17pm,1:17pm - <b>83.45</b>,,,18.57B,,"Autodesk, Inc.",,83.69,83.97,,-6.22,,,-1.95%,-0.51%,+4.41%,+15.85%,+94.02%,83.88,17.60,,,,8.48,,5.34,NMS,ADSK,,,72.03,927059,85.11,43.01,43.01 - 85.11,ADSK
,,,,1309800,,,29.65,+0.00,0.59,2.48,-1.18,8.06,,,+0.00 - +0.00%,+0.00%,,USD,52.92,52.58,52.58 - 52.92,,,,12/30/2016,1.76,3.34,2.29B,2.68,0.42,2.77,2.67,,12/5/2016,52.31,,,,,,,,2/10/2017,2017-02-10 17:44:00 UTC+0000,52.90,,12:44pm,12:44pm - <b>52.90</b>,,,12.84B,,Ameren Corporation Common Stock,,52.36,52.72,,3.39,19.78,,-2.18%,+0.00%,+1.12%,+4.91%,+17.98%,52.90,1.78,19.74,19.10,,2.20,,5.76,NYQ,AEE,,,50.42,374923,54.08,44.84,44.84 - 54.08,AEE
,,,,2532650,,,35.381,+0.495,0.767,0.288,-7.405,6.025,,,+0.495 - +0.781%,+0.781%,,USD,64.075,63.310,63.310 - 64.075,,,,3/10/2017,2.360,3.700,5.44B,3.670,0.890,3.880,1.242,,2/8/2017,63.148,,,,,,,,2/10/2017,2017-02-10 18:53:00 UTC+0000,63.915,,1:53pm,1:53pm - <b>63.915</b>,,,31.43B,,American Electric Power Company,,67.030,63.350,,11.660,51.461,,-10.383%,+0.781%,+1.214%,+0.452%,+10.408%,63.420,1.792,17.416,16.473,,1.904,,2.340,NYQ,AEP,,,63.627,1255729,71.320,57.890,57.890 - 71.320,AEP
,,,,5372470,,,4.37,+0.10,0.04,-0.37,-1.75,2.69,,,+0.10 - +0.87%,+0.87%,,USD,11.62,11.45,11.45 - 11.62,,,,2/15/2017,0.48,4.25,3.43B,0.98,0.28,1.11,-0.41,,1/30/2017,11.53,,,,,,,,2/10/2017,2017-02-10 19:05:00 UTC+0000,11.57,,2:05pm,2:05pm - <b>11.57</b>,,,7.63B,,The AES Corporation Common Stoc,,12.43,11.47,,4.38,,,-13.14%,+0.87%,+0.31%,-3.13%,+30.29%,11.47,2.62,11.81,10.42,,0.54,,1.49,NYQ,AES,,,11.94,2017800,13.32,8.88,8.88 - 13.32,AES
,,,,3211610,,,50.842,+0.195,-0.444,2.374,-15.095,24.255,,,+0.195 - +0.161%,+0.161%,,USD,121.870,121.010,121.010 - 121.870,,,,1/27/2017,1.000,0.830,6.20B,8.800,2.340,9.780,6.410,,1/10/2017,121.849,,,,,,,,2/10/2017,2017-02-10 17:25:00 UTC+0000,121.405,,12:25pm,12:25pm - <b>121.405</b>,,,42.70B,,Aetna Inc. Common Stock,,139.560,121.720,,1.000,18.940,,-11.059%,+0.161%,-0.364%,+1.994%,+24.967%,121.210,2.384,13.796,12.414,,0.675,,1.940,NYQ,AET,,,119.031,496775,136.500,97.150,97.150 - 136.500,AET
,,,,2321150,,,50.47,+0.10,0.31,-1.09,-4.50,13.74,,,+0.10 - +0.14%,+0.14%,,USD,70.10,69.91,69.91 - 70.10,,,,3/1/2017,1.72,2.50,4.12B,6.40,1.61,6.71,6.42,,11/14/2016,69.69,,,,,,,,2/10/2017,2017-02-10 17:50:00 UTC+0000,70.00,,12:50pm,12:50pm - <b>70.00</b>,,,28.41B,,AFLAC Incorporated Common Stock,,71.62,70.00,,1.57,10.90,,-6.04%,+0.14%,+0.45%,-1.53%,+24.42%,69.90,1.38,10.94,10.43,,1.26,,4.27,NYQ,AFL,,,71.09,845201,74.50,56.26,56.26 - 74.50,AFL
,,,,4757740,,,221.28,+0.65,28.86,23.10,-54.99,61.83,,,+0.65 - +0.26%,+0.26%,,USD,246.91,243.50,243.50 - 246.91,,,,3/28/2017,2.80,1.19,6.81B,16.04,4.08,17.81,35.66,,,217.47,,,,,,,,2/10/2017,2017-02-10 18:29:00 UTC+0000,246.33,,1:29pm,1:29pm - <b>246.33</b>,,,92.39B,,Allergan plc Ordinary Shares,,268.26,245.50,,1.14,6.91,,-18.25%,+0.26%,+13.27%,+10.35%,+33.51%,245.68,1.11,15.37,13.83,,5.52,,5.06,NYQ,AGN,,,223.24,1995724,301.32,184.50,184.50 - 301.32,AGN
,,,,5556300,,,85.02,+0.22,-0.16,3.80,-1.93,17.13,,,+0.22 - +0.34%,+0.34%,,USD,65.69,65.35,65.35 - 65.69,,,,12/22/2016,1.28,1.97,5.33B,3.76,1.26,5.34,0.31,,12/6/2016,65.70,,,,,,,,2/10/2017,2017-02-10 18:32:00 UTC+0000,65.54,,1:32pm,1:32pm - <b>65.54</b>,,,67.32B,,"American International Group, I",,72.00,65.41,,0.70,213.49,,-2.86%,+0.34%,-0.25%,+6.15%,+35.39%,65.32,0.77,17.43,12.27,,1.26,,3.50,NYQ,AIG,,,61.74,2828763,67.47,48.41,48.41 - 67.47,AIG
,,,,1297600,,,10.69,+0.30,0.83,1.43,-2.49,9.99,,,+0.30 - +0.66%,+0.66%,,USD,45.58,44.91,44.91 - 45.58,,,,2/28/2017,1.44,3.25,573.94M,0.54,0.11,0.58,2.67,,11/16/2016,44.59,,,,,,,,2/10/2017,2017-02-10 18:48:00 UTC+0000,45.42,,1:48pm,1:48pm - <b>45.42</b>,,,7.09B,,Apartment Investment and Manage,,47.15,44.98,,13.82,17.01,,-5.20%,+0.66%,+1.86%,+3.26%,+28.20%,45.12,4.22,98.74,78.31,,7.23,,3.28,NYQ,AIV,,,43.99,235295,47.91,35.43,35.43 - 47.91,AIV
,,,,431444,,,71.27,+1.14,-2.78,3.44,-6.47,26.09,,,+1.14 - +1.25%,+1.25%,,USD,92.54,91.19,91.19 - 92.54,,,,3/20/2017,2.12,2.18,1.04B,6.42,1.60,7.34,9.13,,11/23/2016,95.28,,,,,,,,2/10/2017,2017-02-10 18:10:00 UTC+0000,92.50,,1:10pm,1:10pm - <b>92.50</b>,,,5.32B,,"Assurant, Inc. Common Stock",,97.75,91.36,,0.53,10.13,,-6.54%,+1.25%,-2.91%,+3.86%,+39.29%,91.36,1.28,14.41,12.60,,0.70,,3.96,NYQ,AIZ,,,89.06,202758,98.97,66.41,66.41 - 98.97,AIZ
,,,,1081610,,,20.17,+0.56,2.23,4.63,0.00,17.30,,,+0.56 - +1.02%,+1.02%,,USD,55.27,54.47,54.47 - 55.27,,,,3/17/2017,1.56,2.89,861.17M,3.02,1.06,3.39,2.32,,11/30/2016,53.04,,,,,,,,2/10/2017,2017-02-10 18:44:00 UTC+0000,55.27,,1:44pm,1:44pm - <b>55.27</b>,,,9.86B,,Arthur J. Gallagher & Co. Commo,,58.38,54.83,,1.55,23.82,,+0.00%,+1.02%,+4.20%,+9.15%,+45.56%,54.71,2.71,18.30,16.30,,1.76,,2.53,NYQ,AJG,,,50.64,412070,55.27,37.97,37.97 - 55.27,AJG
,,64.090,,1891760,64.070,,18.602,+0.238,-4.387,3.330,-7.552,16.288,,,+0.238 - +0.373%,+0.373%,,USD,64.280,63.500,63.500 - 64.280,,,,,,,804.20M,2.800,0.670,3.180,1.790,,,68.475,,,,,,,,2/10/2017,2017-02-10 17:53:00 UTC+0000,64.088,,12:53pm,12:53pm - <b>64.088</b>,,,11.11B,,"Akamai Technologies, Inc.",,71.850,63.850,,1.580,35.803,,-10.542%,+0.373%,-6.406%,+5.482%,+34.075%,63.850,3.432,22.889,20.153,,4.730,,5.930,NMS,AKAM,,,60.757,1242351,71.640,47.800,47.800 - 71.640,AKAM
,,,,852300,,,29.33,-0.23,1.62,8.41,-2.21,43.64,,,-0.23 - -0.24%,-0.24%,,USD,94.45,93.27,93.27 - 94.45,,,,1/2/2017,1.22,1.29,972.98M,3.52,0.95,4.06,1.91,,12/13/2016,92.06,,,,,,,,2/10/2017,2017-02-10 17:30:00 UTC+0000,93.68,,12:30pm,12:30pm - <b>93.68</b>,,,10.54B,,Albemarle Corporation Common St,,98.21,94.45,,4.12,49.05,,-2.30%,-0.24%,+1.76%,+9.87%,+87.21%,93.91,3.20,26.61,23.07,,2.99,,3.42,NYQ,ALB,,,85.27,243422,95.89,50.04,50.04 - 95.89,ALB
,,,,1271030,,,23.23,-0.82,5.18,20.24,-1.30,43.08,,,-0.82 - -0.83%,-0.83%,,USD,98.83,97.31,97.31 - 98.83,,,,12/1/2016,1.10,1.16,1.79B,7.89,2.42,8.74,7.13,,11/10/2016,92.41,,,,,,,,2/10/2017,2017-02-10 18:09:00 UTC+0000,97.59,,1:09pm,1:09pm - <b>97.59</b>,,,12.03B,,"Alaska Air Group, Inc. Common S",,106.58,98.37,,1.20,13.69,,-1.31%,-0.83%,+5.61%,+26.17%,+79.03%,98.41,4.24,12.23,11.17,,2.10,,6.42,NYQ,ALK,,,77.35,563796,98.89,54.51,54.51 - 98.89,ALK
,,,,2150830,,,51.4400,+0.8239,4.1009,8.4202,-0.0161,16.3939,,,+0.8239 - +1.0516%,+1.0516%,,USD,79.1900,78.1300,78.1300 - 79.1900,,,,1/3/2017,1.3200,1.6900,3.46B,6.2200,1.2000,6.8800,4.6700,,11/28/2016,75.0730,,,,,,,,2/10/2017,2017-02-10 18:02:00 UTC+0000,79.1739,,1:02pm,1:02pm - <b>79.1739</b>,,,28.98B,,Allstate Corporation (The) Comm,,81.6700,78.5500,,0.9000,16.9537,,-0.0203%,+1.0516%,+5.4625%,+11.9007%,+26.1132%,78.3500,1.5231,12.7289,11.5078,,0.7849,,2.3700,NYQ,ALL,,,70.7537,750224,79.1900,62.7800,62.7800 - 79.1900,ALL
,,,,774987,,,1.5810,+0.1575,5.8711,4.1754,-1.6025,15.0075,,,+0.1575 - +0.2196%,+0.2196%,,USD,72.3600,71.5000,71.5000 - 72.3600,,,,3/31/2017,0.6400,0.9500,488.30M,3.4000,1.0100,4.1100,2.3300,,12/13/2016,66.0164,,,,,,,,2/10/2017,2017-02-10 17:03:00 UTC+0000,71.8875,,12:03pm,12:03pm - <b>71.8875</b>,,,6.90B,,Allegion plc Ordinary Shares,,77.5000,71.8000,,1.4900,30.8530,,-2.1806%,+0.2196%,+8.8934%,+6.1664%,+26.3845%,71.7300,45.3700,19.4291,17.4909,,3.1112,,3.7900,NYQ,ALLE,,,67.7121,357178,73.4900,56.8800,56.8800 - 73.4900,ALLE
,,126.560,,2877640,126.450,,37.980,-0.575,-4.472,-0.551,-35.495,17.385,,,-0.575 - -0.452%,-0.452%,,USD,127.980,125.850,125.850 - 127.980,,,,,,,1.11B,4.630,1.310,5.540,1.640,,,130.977,,,,,,,,2/10/2017,2017-02-10 17:29:00 UTC+0000,126.505,,12:29pm,12:29pm - <b>126.505</b>,,,28.33B,,"Alexion Pharmaceuticals, Inc.",,167.930,127.490,,1.300,77.137,,-21.910%,-0.452%,-3.414%,-0.434%,+15.932%,127.080,3.346,27.323,22.835,,9.633,,1.540,NMS,ALXN,,,127.056,756011,162.000,109.120,109.120 - 162.000,ALXN
,,35.45,,10165400,35.44,,6.70,+0.03,1.70,4.96,-0.41,19.94,,,+0.03 - +0.08%,+0.08%,,USD,35.64,35.09,35.09 - 35.64,,,,3/15/2017,0.40,1.14,2.54B,2.44,0.63,2.61,1.54,,11/22/2016,33.74,,,,,,,,2/10/2017,2017-02-10 18:21:00 UTC+0000,35.44,,1:21pm,1:21pm - <b>35.44</b>,,,38.15B,,"Applied Materials, Inc.",,37.14,35.64,,0.93,23.01,,-1.14%,+0.08%,+5.05%,+16.28%,+128.65%,35.41,5.29,14.52,13.58,,3.52,,1.65,NMS,AMAT,,,30.48,3032672,35.85,15.50,15.50 - 35.85,AMAT
,,,,2054570,,,14.15,+0.35,2.91,5.23,-0.06,10.66,,,+0.35 - +0.66%,+0.66%,,USD,53.54,53.06,53.06 - 53.54,,,,12/21/2016,0.36,0.70,965.85M,2.44,0.63,2.44,2.19,,12/5/2016,50.57,,,,,,,,2/10/2017,2017-02-10 17:22:00 UTC+0000,53.48,,12:22pm,12:22pm - <b>53.48</b>,,,12.31B,,"AMETEK, Inc.",,56.86,53.24,,2.04,24.42,,-0.12%,+0.66%,+5.75%,+10.83%,+24.89%,53.13,3.76,21.92,20.03,,3.19,,3.73,NYQ,AME,,,48.25,519734,53.54,42.82,42.82 - 53.54,AME
,,,,644961,,,65.81,+2.39,18.24,20.91,-13.60,47.13,,,+2.39 - +1.46%,+1.46%,,USD,166.97,164.07,164.07 - 166.97,,,,2/23/2017,0.80,0.51,834.90M,14.68,3.33,16.37,8.57,,2/7/2017,148.01,,,,,,,,2/10/2017,2017-02-10 17:14:00 UTC+0000,166.25,,12:14pm,12:14pm - <b>166.25</b>,,,9.14B,,"Affiliated Managers Group, Inc.",,187.38,165.00,,0.77,19.41,,-7.56%,+1.46%,+12.32%,+14.39%,+39.57%,163.86,2.49,11.32,10.16,,4.11,,2.23,NYQ,AMG,,,145.34,262377,179.85,119.12,119.12 - 179.85,AMG
,,167.76,,3770070,167.74,,40.48,+0.27,12.05,8.40,-9.11,34.10,,,+0.27 - +0.16%,+0.16%,,USD,168.28,167.03,167.03 - 168.28,,,,3/8/2017,4.60,2.76,12.00B,12.33,3.11,12.84,10.24,,11/14/2016,155.69,,,,,,,,2/10/2017,2017-02-10 18:00:00 UTC+0000,167.74,,1:00pm,1:00pm - <b>167.74</b>,,,123.79B,,Amgen Inc.,,182.88,167.80,,2.01,16.38,,-5.15%,+0.16%,+7.74%,+5.27%,+25.52%,167.47,4.14,13.60,13.06,,5.38,,1.88,NMS,AMGN,,,159.34,1317648,176.85,133.64,133.64 - 176.85,AMGN
,,,,1205730,,,40.65,-0.09,8.72,18.74,-0.71,47.48,,,-0.09 - -0.07%,-0.07%,,USD,124.35,122.71,122.71 - 124.35,,,,2/28/2017,3.00,2.43,2.76B,10.58,2.58,11.95,7.81,,2/9/2017,114.92,,,,,,,,2/10/2017,2017-02-10 17:29:00 UTC+0000,123.64,,12:29pm,12:29pm - <b>123.64</b>,,,19.14B,,"Ameriprise Financial, Inc. Comm",,136.89,124.05,,0.79,15.83,,-0.57%,-0.07%,+7.59%,+17.87%,+62.34%,123.73,3.04,11.69,10.35,,1.63,,1.55,NYQ,AMP,,,104.90,476042,124.35,76.16,76.16 - 124.35,AMP
,,,,2540490,,,15.76,-0.47,0.53,-4.40,-12.95,21.56,,,-0.47 - -0.44%,-0.44%,,USD,105.76,104.73,104.73 - 105.76,,,,1/13/2017,2.32,2.24,3.31B,2.09,0.62,2.74,2.00,,12/23/2016,104.78,,,,,,,,2/10/2017,2017-02-10 17:53:00 UTC+0000,105.31,,12:53pm,12:53pm - <b>105.31</b>,,,44.83B,,American Tower Corporation (REI,,129.80,105.50,,1.51,52.71,,-10.95%,-0.44%,+0.50%,-4.01%,+25.74%,105.78,6.71,50.39,38.43,,8.15,,2.87,NYQ,AMT,,,109.71,495926,118.26,83.75,83.75 - 118.26,AMT
,,826.65,,4061220,826.56,,40.43,+4.97,23.93,41.08,-20.88,324.84,,,+4.97 - +0.61%,+0.61%,,USD,827.22,822.85,822.85 - 827.22,,,,,,,12.30B,7.40,1.88,12.85,4.90,,,802.40,,,,,,,,2/10/2017,2017-02-10 17:05:00 UTC+0000,826.33,,12:05pm,12:05pm - <b>826.33</b>,,,394.16B,,"Amazon.com, Inc.",,927.26,823.82,,2.97,168.64,,-2.46%,+0.61%,+2.98%,+5.23%,+64.77%,821.36,20.32,112.89,64.31,,2.88,,1.59,NMS,AMZN,,,785.25,1225020,847.21,501.49,501.49 - 847.21,AMZN
,,,,988719,,,21.94,+0.26,-3.07,-0.58,-6.54,8.33,,,+0.26 - +0.55%,+0.55%,,USD,47.94,47.35,47.35 - 47.94,,,,,,,1.03B,4.08,1.03,4.48,4.15,,7/3/2000,50.68,,,,,,,,2/10/2017,2017-02-10 18:05:00 UTC+0000,47.61,,1:05pm,1:05pm - <b>47.61</b>,,,4.81B,,"AutoNation, Inc. Common Stock",,51.00,47.55,,1.06,11.48,,-12.08%,+0.55%,-6.05%,-1.20%,+21.21%,47.35,2.16,11.67,10.63,,0.22,,8.66,NYQ,AN,,,48.19,367331,54.15,39.28,39.28 - 54.15,AN
,,,,1667850,,,93.41,-0.15,11.53,26.46,-0.96,46.68,,,-0.15 - -0.09%,-0.09%,,USD,162.38,160.19,160.19 - 162.38,,,,12/21/2016,2.60,1.66,6.19B,11.61,3.40,12.88,9.21,,12/1/2016,150.00,,,,,,,,2/10/2017,2017-02-10 18:12:00 UTC+0000,161.53,,1:12pm,1:12pm - <b>161.53</b>,,,43.40B,,"Anthem, Inc. Common Stock",,175.06,162.38,,1.18,17.54,,-0.59%,-0.09%,+7.69%,+19.59%,+40.64%,161.68,1.73,13.91,12.54,,0.51,,5.63,NYQ,ANTM,,,135.07,573430,162.49,114.85,114.85 - 162.49,ANTM
,,,,1086120,,,20.62,+0.81,2.26,3.77,-1.42,22.29,,,+0.81 - +0.71%,+0.71%,,USD,115.20,114.30,114.30 - 115.20,,,,2/15/2017,1.32,1.16,2.49B,6.49,1.45,7.13,5.42,,1/30/2017,112.90,,,,,,,,2/9/2017,2017-02-09 21:02:00 UTC+0000,115.17,,4:02pm,4:02pm - <b>115.17</b>,,,30.30B,,Aon plc Class A Ordinary Shares,,120.57,114.57,,2.10,21.23,,-1.22%,+0.71%,+2.01%,+3.38%,+24.00%,114.36,5.55,17.75,16.15,,2.60,,2.14,NYQ,AON,,,111.40,1028434,116.59,92.88,92.88 - 116.59,AON
,,,,3140170,,,17.05,+0.33,-4.65,-2.35,-11.75,22.59,,,+0.33 - +0.58%,+0.58%,,USD,57.71,56.92,56.92 - 57.71,,,,2/22/2017,1.00,1.73,2.76B,-0.95,0.26,1.44,-47.56,,1/18/2017,61.90,,,,,,,,2/10/2017,2017-02-10 16:46:00 UTC+0000,57.25,,11:46am,11:46am - <b>57.25</b>,,,21.72B,,Apache Corporation Common Stock,,65.59,57.44,,5.65,,,-17.03%,+0.58%,-7.52%,-3.95%,+65.18%,56.92,3.34,,39.76,,4.39,,8.12,NYQ,APA,,,59.60,1171465,69.00,34.66,34.66 - 69.00,APA
,,,,4238230,,,22.16,+0.92,-0.78,6.56,-3.99,35.49,,,+0.92 - +1.34%,+1.34%,,USD,70.00,68.79,68.79 - 70.00,,,,12/28/2016,0.20,0.29,2.15B,0.43,0.09,1.46,-5.90,,12/12/2016,70.12,,,,,,,,2/10/2017,2017-02-10 18:37:00 UTC+0000,69.34,,1:37pm,1:37pm - <b>69.34</b>,,,38.21B,,Anadarko Petroleum Corporation,,82.03,68.97,,18.94,,,-5.44%,+1.34%,-1.12%,+10.45%,+104.84%,68.42,3.09,161.26,47.49,,4.46,,2.44,NYQ,APC,,,62.78,2786767,73.33,33.85,33.85 - 73.33,APC
