.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
Archer-Daniels-Midland Company,ADM,3294510,29.47,2.86,2540000000.0,2.86,0.68,3.08,2.16,44.42,26050000000.0,0.0011337868480725266,1.18,20.69,-0.0006802721088435826,0.0060999999999999995,0.0168,-0.0666,0.35100000000000003,1.50,15.63,14.51,0.41,3.78,1,43.95,2809757
"Automatic Data Processing, Inc.",ADP,2060390,8.50,2.29,2730000000.0,3.66,0.70,4.04,3.72,100.85,44750000000.0,0.0012014417300760805,2.37,26.78,-0.0028033640368442247,-0.0116,0.0634,-0.0424,0.1997,11.75,27.23,24.67,3.72,3.36,0,93.74,1577550
Alliance Data Systems Corporati,ADS,597190,28.79,0.88,1570000000.0,18.49,3.77,21.08,7.34,230.30,13540000000.0,0.07787044639384644,1.07,32.02,-0.0009939069184563554,0.0206,0.0726,-0.0275,0.2807,8.04,12.71,11.15,1.87,5.39,1,219.13,714115
Ameren Corporation Common Stock,AEE,1260890,29.28,3.30,2300000000.0,2.77,0.61,3.01,2.68,52.41,12950000000.0,-0.010867528574105223,3.29,19.91,0,0.0183,0.0579,-0.0131,0.1834,1.82,19.27,17.73,2.13,5.64,1,50.45,200
American Electric Power Company,AEP,2346820,35.38,3.68,5440000000.0,3.65,0.89,3.88,1.24,63.26,31520000000.0,0.0489783185150523,11.79,51.62,0,0.013500000000000002,0.0115,-0.1011,0.1074,1.81,17.56,16.52,1.92,2.17,1,63.38,0
Aetna Inc.,AET,3161270,50.84,0.80,6200000000.0,8.79,2.32,9.76,6.41,122.00,44060000000.0,0.07776662290524361,1.04,19.54,-0.009112672793265997,0.0268,0.048799999999999996,-0.0823,0.22190000000000001,2.55,14.25,12.84,0.72,1.37,1,119.44,4214129
AFLAC Incorporated,AFL,2343320,50.47,2.42,4120000000.0,6.39,1.61,6.71,6.42,69.84,28850000000.0,0.006040174181767277,1.62,11.07,-0.003652198342463664,0.0181,0.0014000000000000002,-0.045599999999999995,0.2162,1.41,11.13,10.60,1.28,3.06,1,71.00,2081865
Allergan plc Ordinary Shares,AGN,4684550,221.28,1.13,6110000000.0,16.02,4.09,17.76,38.18,219.06,92780000000.0,0.08832462641234362,1.16,6.48,-0.003239784554327163,0.1291,0.1081,-0.1791,0.3407,1.12,15.44,13.93,6.36,4.36,1,223.23,2494568
Apartment Investment and Manage,AIV,1131780,10.69,3.20,573940000.0,0.49,0.12,0.58,2.67,44.72,7030000000.0,0.04932237280604301,12.94,16.86,0,0.006500000000000001,0.0229,-0.0605,0.2695,4.21,91.86,77.60,7.21,4.37,1,44.00,0
"Assurant, Inc.",AIZ,409394,73.26,2.19,1040000000.0,6.25,1.60,7.22,9.13,95.59,5380000000.0,0.01274347285536681,0.57,10.60,-0.004455035225859882,0.0121,0.08070000000000001,-0.0225,0.4199,1.32,15.48,13.40,0.72,5.16,1,89.53,356715
Arthur J. Gallagher & Co.,AJG,1060980,20.17,2.74,868800000.0,3.02,1.06,3.39,2.32,53.72,10170000000.0,0.04338586860279792,1.63,24.54,-0.004072959093323836,0.06,0.1183,0.0,0.4607,2.80,18.85,16.80,1.82,3.92,1,50.92,1206116
"Akamai Technologies, Inc.",AKAM,1897550,18.64,0,788760000.0,2.79,0.67,3.17,1.79,68.37,10780000000.0,0.1517484760988128,1.60,34.83,0.02390118703881927,-0.0882,0.0253,-0.1298,0.3042,3.34,22.34,19.67,4.61,4.65,0,60.80,3981112
Albemarle Corporation Common St,ALB,841503,29.33,1.33,972980000.0,3.52,0.95,4.07,1.91,92.22,10340000000.0,0.0686072935829456,4.02,48.13,0.0003246401904555274,-0.0033,0.07730000000000001,-0.0414,0.8040999999999999,3.15,26.11,22.58,2.95,2.82,1,85.32,1016681
"Alaska Air Group, Inc.",ALK,1290750,23.77,1.24,1830000000.0,8.02,2.42,8.74,6.54,93.80,11910000000.0,0.11738545868238703,1.18,14.77,-0.0058951287620229165,0.029900000000000003,0.2238,-0.0232,0.7722,4.07,12.04,11.05,2.01,5.94,1,78.94,909965
Allstate Corporation (The),ALL,2047150,51.44,1.69,3460000000.0,6.22,1.22,6.88,4.67,76.04,29440000000.0,0.02598209845847843,0.92,17.22,0,0.057800000000000004,0.1292,-0.004699999999999999,0.2813,1.56,12.93,11.69,0.81,2.65,1,71.24,0
Allegion plc Ordinary Shares,ALLE,768084,1.22,0.87,492400000.0,3.69,1.01,4.09,2.36,67.21,7010000000.0,0.08093353350621002,1.53,31.08,-0.0009553705472907792,0.0911,0.0833,-0.0046,0.2651,60.16,19.88,17.93,3.13,3.35,1,67.70,13875
"Alexion Pharmaceuticals, Inc.",ALXN,2780400,38.81,0,1170000000.0,5.27,1.29,6.70,1.76,131.49,28930000000.0,0.25047933123705834,1.31,73.19,-0.0029910269192421346,-0.0203,0.013999999999999999,-0.2048,0.1805,3.36,24.44,19.23,9.50,1.82,0,127.05,3048171
"Applied Materials, Inc.",AMAT,9934510,7.13,1.12,2990000000.0,2.61,0.66,2.80,1.94,34.20,38450000000.0,0.15507411630558732,0.63,18.35,-0.003135689851767376,0.043,0.152,-0.005,0.9718000000000001,4.92,13.67,12.74,3.19,1.32,0,30.96,14896368
"AMETEK, Inc.",AME,2027460,14.15,0.66,965850000.0,2.44,0.62,2.67,2.19,50.70,12550000000.0,0.06418981055729267,2.09,24.89,-0.00496597388265585,0.075,0.1283,0.0,0.25920000000000004,3.84,22.34,20.41,3.26,3.91,1,48.30,1719542
"Affiliated Managers Group, Inc.",AMG,620258,65.81,0.48,834900000.0,14.68,3.33,16.36,8.57,152.09,9260000000.0,0.11971411554496725,0.82,19.66,-0.00941036331149503,0.1074,0.151,-0.0636,0.3513,2.55,11.47,10.29,4.21,2.03,1,146.32,347799
Amgen Inc.,AMGN,3589060,40.47,2.65,12000000000.0,12.34,3.11,12.83,10.24,159.43,127620000000.0,0.06838649700772748,2.07,16.92,-0.004415780605426911,0.08689999999999999,0.0876,-0.020099999999999996,0.2967,4.25,14.04,13.51,5.51,1.58,0,159.33,4154875
"Ameriprise Financial, Inc. Comm",AMP,1109980,40.65,2.33,2760000000.0,10.58,2.58,11.93,7.81,117.67,19970000000.0,0.06899759671292327,0.82,16.52,0,0.0962,0.2138,-0.0022,0.6046,3.17,12.19,10.81,1.70,1.72,1,106.27,0
American Tower Corporation (REI,AMT,2419640,15.76,2.15,3310000000.0,2.09,0.62,2.74,2.00,104.75,46020000000.0,0.20508773558629678,1.55,54.11,0.0016711540246960865,0.0321,-0.0138,-0.0858,0.26030000000000003,6.83,51.73,39.46,8.30,3.14,1,109.62,4991446
"Amazon.com, Inc.",AMZN,3695710,40.43,0,11670000000.0,7.26,1.88,12.84,4.90,814.00,403240000000.0,0.10044542374487642,3.08,172.46,-0.0025351245054138216,0.0382,0.0709,-0.0026,0.6397999999999999,20.88,116.40,65.82,2.96,1.61,0,789.14,3128423
"AutoNation, Inc.",AN,971476,22.95,0,970700000.0,4.03,1.03,4.47,4.15,50.37,4820000000.0,0.08695652173913038,1.06,11.52,-0.0010656436487639365,-0.0516,-0.0044,-0.11779999999999999,0.2161,2.04,11.85,10.69,0.22,7.76,1,47.98,1210461
"Anthem, Inc.",ANTM,1689040,93.41,1.62,6190000000.0,11.58,3.37,12.81,9.21,152.96,43060000000.0,0.06973194113696035,1.19,17.40,-0.012151187641204153,0.04769999999999999,0.17559999999999998,-0.0339,0.3953,1.75,13.84,12.51,0.52,4.29,1,136.31,2302818
Aon plc Class A Ordinary Shares,AON,1039450,20.61,1.12,2390000000.0,6.44,1.39,7.91,5.16,113.63,31220000000.0,0.04305934515688947,2.33,22.78,-0.0033253751705321077,0.034300000000000004,0.052199999999999996,-0.002,0.26539999999999997,5.69,18.25,14.86,2.68,1.85,1,111.70,962814
"Air Products and Chemicals, Inc",APD,1407250,32.91,2.69,3130000000.0,6.15,1.65,6.85,2.60,143.14,30790000000.0,0.06364982025798271,-76.70,54.49,0.0007048706562344798,-0.0115,0.0053,-0.059500000000000004,0.22469999999999998,4.31,23.01,20.66,3.24,1.73,1,140.75,717369
Amphenol Corporation Common Sto,APH,1201890,11.91,0.92,1460000000.0,2.91,0.71,3.14,2.61,67.71,21430000000.0,0.005044681464399181,3.39,26.61,0.0002882675122515277,0.0259,0.0663,0.0,0.39,5.82,23.87,22.12,3.40,3.69,1,65.14,1103316
"Activision Blizzard, Inc",ATVI,9064140,12.26,0.66,2290000000.0,1.95,0.32,2.36,1.28,40.16,33729999999.999996,0.1154439303811412,1.44,35.41,0.00022031284423884578,0.12869999999999998,0.11259999999999999,-0.048499999999999995,0.5821999999999999,3.70,23.25,19.21,5.11,2.66,0,40.74,620
"AvalonBay Communities, Inc.",AVB,787598,74.06,3.18,1300000000.0,4.55,1.14,4.72,7.52,176.28,24520000000.0,0.056234991902607945,8.30,23.74,0.0011168816663875702,0.0128,0.0301,-0.07150000000000001,0.1277,2.42,39.24,37.83,11.98,6.66,1,173.32,498560
Avery Dennison Corporation,AVY,766208,10.27,2.07,782300000.0,4.43,1.20,4.86,3.54,75.18,7150000000.0,0.060379241516966164,1.71,22.46,-0.002370259481037862,0.0562,0.0616,-0.0177,0.2607,7.80,17.93,16.34,1.19,5.04,1,74.80,584903
"American Water Works Company, I",AWK,958982,29.43,2.03,1520000000.0,2.85,0.54,3.04,2.60,72.29,13140000000.0,0.0746187363834423,3.48,28.40,0.0,0.021,0.004,-0.1341,0.1417,2.50,25.90,24.28,3.98,4.58,1,73.51,2662905
American Express Company,AXP,4151430,23.23,1.61,0.00,5.66,1.43,6.25,5.65,77.13,72060000000.0,0.018236699786190247,2.16,14.11,-0.003647339957238205,0.0334,0.1424,-0.0049,0.4882,3.42,14.08,12.75,2.39,3.10,1,69.77,2690329
Acuity Brands Inc (Holding Comp,AYI,670250,39.50,0.24,586200000.0,8.79,2.24,10.47,6.92,215.77,9650000000.0,0.08888278639754676,0.99,31.83,-0.005583779578012704,0.021,-0.10189999999999999,-0.2157,0.217,5.53,25.06,21.04,2.81,3.36,1,245.27,812360
Boeing Company (The),BA,3335730,1.32,3.29,8680000000.0,9.30,2.33,10.14,7.61,162.70,105780000000.0,0.01691938411100047,1.42,22.70,-0.0023417832679585304,0.061500000000000006,0.1863,-0.0031,0.5351,129.01,18.57,17.03,1.11,3.69,1,145.58,4983222
Bank of America Corporation,BAC,107328000,24.04,1.22,0.00,1.73,0.46,2.09,1.50,23.04,257860000000.0,0.015459723352319044,1.31,16.35,-0.012205044751830596,0.0641,0.2925,-0.0101,1.1047,1.02,14.17,11.73,3.23,1.10,1,18.97,85805439
Baxter International Inc.,BAX,3228030,15.95,1.05,1990000000.0,2.17,0.52,2.45,9.01,47.17,27050000000.0,0.07001214083367069,1.62,5.52,-0.0020234722784298054,0.054400000000000004,0.0622,-0.0086,0.3311,3.10,22.92,20.30,2.64,3.12,1,46.82,2836243
Bed Bath & Beyond Inc.,BBBY,2483610,17.82,1.22,1500000000.0,4.52,0.76,4.62,4.71,40.51,6040000000.0,0.024461839530332652,1.51,8.73,-0.00366927592955002,0.0155,-0.0443,-0.2195,0.06570000000000001,2.29,9.10,8.90,0.50,5.93,0,43.05,1287886
BB&T Corporation Common Stock,BBT,5038360,33.14,2.50,0.00,3.09,0.78,3.47,2.77,46.51,38820000000.0,0.010833333333333472,2.94,17.31,-0.007291666666666696,0.0311,0.1518,0.0,0.5337,1.45,15.52,13.82,3.80,2.81,1,41.64,2635793
"Best Buy Co., Inc. Common Stock",BBY,4697360,13.6130,2.4800,2480000000.0,3.2800,0.4900,3.4700,3.3500,44.1132,14340000000.0,0.010610079575596787,1.1100,13.6381,0.011936339522546469,0.03569,0.11209899999999999,-0.07515,0.588581,3.3233,13.9291,13.1665,0.3590,7.7500,1,41.0823,230380
"C.R. Bard, Inc. Common Stock",BCR,597547,22.98,0.43,1150000000.0,11.64,2.87,12.84,7.03,232.33,17460000000.0,0.030356921295338957,1.83,34.48,-0.0005376566441953612,0.0434,0.0906,-0.0011,0.3132,10.52,20.83,18.88,4.69,1.47,1,222.27,782477
"Becton, Dickinson and Company C",BDX,1111100,35.63,1.61,3260000000.0,9.43,2.47,10.40,6.01,172.31,38500000000.0,0.047890599047724525,1.88,30.11,-0.0023253238843983226,0.0499,0.047599999999999996,-0.004699999999999999,0.2876,5.07,19.18,17.39,3.10,3.20,1,172.69,810321
"Franklin Resources, Inc. Common",BEN,2575120,21.15,1.88,2320000000.0,2.68,0.64,2.67,2.97,40.34,24040000000.0,-0.07992433199337912,-2.93,14.33,-0.00449278789311891,0.054400000000000004,0.1353,-0.0001,0.3917,2.00,15.87,15.93,3.72,4.06,1,37.46,2365868
Biogen Inc.,BIIB,1801860,56.23,0,6370000000.0,20.98,5.19,22.52,16.93,281.39,62400000000.0,0.11344915899494712,2.20,17.07,0.0036685817124662012,0.0268,-0.028300000000000002,-0.134,0.2956,5.14,13.77,12.83,5.45,1.12,0,297.36,2022911
Bank of New York Mellon Corpora,BK,6060970,33.67,1.61,0.00,3.46,0.85,3.90,3.15,46.26,49380000000.0,0.09793923943063532,1.22,14.97,-0.007648183556405397,0.019,0.0805,-0.0484,0.39380000000000004,1.40,13.62,12.09,3.23,1.51,1,43.63,3669893
"BlackRock, Inc. Common Stock",BLK,658892,176.40,2.57,4870000000.0,21.36,5.29,24.24,19.04,379.67,63410000000.0,0.0812817307446998,1.58,20.42,-0.005638186595913086,0.024,0.051699999999999996,-0.0268,0.305,2.22,18.20,16.04,5.73,2.72,1,369.64,607444
Ball Corporation,BLL,1252320,20.04,0.71,1280000000.0,4.23,1.14,5.03,1.39,75.33,12800000000.0,0.16059194299808155,1.92,52.71,-0.0004110715264455944,-0.0273,-0.0537,-0.1091,0.1245,3.64,17.32,14.57,1.40,9.64,1,77.43,2756842
Bristol-Myers Squibb Company Co,BMY,11984600,9.34,2.86,6780000000.0,2.81,0.69,3.09,2.65,53.60,91230000000.0,0.014288331196189663,1.36,20.60,0,0.0184,-0.0192,-0.2921,0.1865,5.84,19.43,17.67,4.70,0.79,1,55.66,5391
Boston Scientific Corporation,BSX,8231430,4.94,0,2270000000.0,1.25,0.31,1.42,0.25,23.97,34580000000.0,0.10883280757097791,1.62,101.56,-0.0035488958990536057,0.0593,0.1048,-0.0101,0.5095000000000001,5.13,20.31,17.88,4.12,2.20,1,22.98,7363627
BorgWarner Inc. Common Stock,BWA,2260090,15.16,1.32,807600000.0,3.41,0.87,3.71,0.55,40.35,9010000000.0,0.027791203479941906,1.59,77.05,-0.009908168197196754,0.0504,0.1586,0.0,0.54,2.73,12.43,11.42,0.97,6.67,1,36.58,2272122
"Boston Properties, Inc. Common",BXP,804174,36.31,2.19,1510000000.0,2.26,0.64,2.79,3.25,131.04,21100000000.0,0.004373496610539984,7.59,42.22,-0.0023325315256214063,0.0471,0.049400000000000006,-0.0472,0.24789999999999998,3.78,60.72,49.18,8.25,3.25,1,130.76,13175
"Citigroup, Inc.",C,20401200,74.26,1.06,0.00,5.20,1.31,5.92,4.72,58.32,166820000000.0,0.07005631003643575,1.61,12.75,-0.011262007287181186,0.0318,0.1421,-0.023700000000000002,0.6435,0.81,11.57,10.16,2.65,0.96,1,52.68,15120991
CA Inc.,CA,2626940,13.49,3.18,1280000000.0,2.44,0.60,2.46,1.89,32.12,13410000000.0,0.028535591094386747,21.92,17.01,-0.0006271558482282558,-0.0011,-0.011899999999999999,-0.08289999999999999,0.11349999999999999,2.36,13.15,13.04,3.31,4.72,0,32.48,1887628
"ConAgra Brands, Inc.",CAG,3073620,10.22,2.02,1830000000.0,1.70,0.39,1.88,1.42,39.16,17240000000.0,0.0440771349862259,1.81,27.93,-0.010267968945654848,0.0115,0.06559999999999999,-0.1893,0.1784,3.91,23.30,21.07,1.55,1.44,1,37.17,4081471
"Cardinal Health, Inc.",CAH,2543950,17.91,2.22,3070000000.0,5.42,1.37,5.94,4.15,75.73,25460000000.0,0.02193419740777669,1.61,19.43,-0.0029910269192422456,0.0658,0.0675,-0.08130000000000001,0.2872,4.48,14.89,13.59,0.20,4.76,1,75.61,2498960
D/B/A Chubb Limited New,CB,1477090,103.60,2.03,5730000000.0,10.36,2.55,10.94,8.87,131.84,63460000000.0,0.03971119133574019,2.71,15.35,-0.0027996758270094624,0.033,0.0632,-0.0004,0.1886,1.31,13.15,12.45,2.01,3.76,1,128.10,1431549
CBRE Group Inc Common Stock Cla,CBG,2130190,8.95,0,1150000000.0,2.40,0.53,2.57,1.69,31.08,12020000000.0,0.04426042261564822,1.31,21.11,-0.0034266133637922414,0.14800000000000002,0.214,-0.0029,0.4799,3.91,14.87,13.88,0.90,4.54,1,29.39,2990647
CBS Corporation Class B,CBS,4006940,8.70,1.10,3100000000.0,4.41,1.02,5.12,2.81,64.05,27850000000.0,0.10638948333842846,0.92,23.38,-0.004280036686028721,0.025699999999999997,0.129,-0.0178,0.46299999999999997,7.52,14.90,12.83,2.11,3.77,1,58.18,6926670
Crown Castle International Corp,CCI,2032070,21.46,4.26,2109999999.9999998,1.16,0.27,1.50,0.95,87.33,31420000000.0,0.13717359632410608,-2.44,93.93,0,0.0218,-0.0054,-0.1322,0.1241,4.16,76.92,59.49,8.01,2.87,1,89.71,0
Carnival Corporation,CCL,3325870,31.12,2.53,4760000000.0,3.57,0.46,4.11,3.72,54.76,40220000000.0,0.03123326789220071,1.13,14.89,-0.004818847046225261,0.0118,0.10550000000000001,-0.0414,0.2902,1.80,15.52,13.48,2.48,6.24,1,50.11,3954574
Celgene Corporation,CELG,4321110,8.48,0,4010000000.0,7.22,1.76,8.77,2.49,116.34,94260000000.0,0.1826226192482725,0.75,48.66,0.003960896679588766,0.0414,0.0817,-0.046,0.2836,14.00,16.78,13.82,8.22,1.51,0,112.01,4859077
Cerner Corporation,CERN,3079830,11.92,0,1320000000.0,2.50,0.62,2.76,1.85,51.94,18510000000.0,0.0127674878618953,1.56,30.35,-0.0019780614997302326,0.081,-0.0024,-0.1681,0.19440000000000002,4.67,22.46,20.34,3.89,6.26,0,56.28,2610101
"Citizens Financial Group, Inc.",CFG,5109020,38.089,1.480,0.00,2.270,0.560,2.660,1.970,36.355,19470000000.0,-0.0013213530655392658,1.020,19.302,0.004492600422832949,0.04593,0.27682,-0.01054,1.07334,0.993,16.751,14.295,3.965,1.600,1,29.781,233195
"Church & Dwight Company, Inc.",CHD,1975570,7.71,1.45,831800000.0,1.90,0.42,2.04,1.75,45.91,12740000000.0,-0.0073574494175352445,3.40,28.40,0.006948702227672188,0.0827,0.0655,-0.0741,0.1678,6.34,26.16,24.36,3.59,4.96,1,46.65,3483988
"C.H. Robinson Worldwide, Inc.",CHRW,1362460,8.88,2.28,912200000.0,3.68,0.98,3.96,3.59,75.02,11200000000.0,-0.030103718694662218,2.95,22.02,0,0.053899999999999997,0.09759999999999999,-0.0004,0.2057,8.91,21.48,19.96,0.85,13.39,0,72.03,0
"Charter Communications, Inc.",CHTR,1692630,149.27,0,10730000000.0,0.60,1.20,8.41,15.95,312.61,86980000000.0,-0.9984688409125708,2.69,20.29,-0.006890215893431306,0.0348,0.1678,-0.0528,0.9238,2.19,64.83,38.46,3.03,3.84,0,277.00,127752
Cigna Corporation,CI,1292910,53.42,0.03,4170000000.0,9.50,2.45,10.89,7.19,144.67,36880000000.0,0.13589761233055797,1.29,19.97,-0.007913025528108464,-0.0077,0.0727,-0.0473,0.248,2.72,15.11,13.18,0.94,0.92,1,133.84,2018752
Cincinnati Financial Corporatio,CINF,619639,42.94,2.75,910330000.0,3.07,0.61,3.22,3.55,71.88,11950000000.0,0.006977698727596016,-3.97,20.47,-0.002873170064304431,0.0109,-0.0212,-0.08710000000000001,0.1729,1.70,23.67,22.57,2.21,6.24,0,74.25,497003
Clorox Company (The) Common Sto,CLX,992311,2.11,2.39,1220000000.0,5.33,1.50,5.73,4.99,121.75,17149999999.999998,-0.022444273635664813,3.60,26.82,0.009531129900076873,0.09820000000000001,0.0908,-0.0481,0.20199999999999999,61.78,25.09,23.34,2.84,5.97,1,122.58,2559830
Comerica Incorporated Common St,CMA,2058170,44.47,1.27,0.00,3.99,0.96,4.71,2.68,68.49,12730000000.0,-0.016402481047553374,0.85,27.00,-0.007580978635423841,0.0567,0.2858,-0.0018,1.2104000000000001,1.63,18.14,15.37,4.91,2.67,1,56.29,1399670
Comcast Corporation,CMCSA,10097500,22.70,1.67,26480000000.0,3.75,0.93,4.35,3.57,72.78,178950000000.0,0.10103558151885306,1.72,21.10,0.008231545406266694,0.0348,0.10769999999999999,-0.0202,0.3307,3.32,20.09,17.31,2.23,2.95,0,67.99,9799976
CME Group Inc.,CME,1569840,60.17,2.15,2430000000.0,4.81,1.23,5.27,4.53,118.42,41460000000.0,0.03972748912418944,2.84,27.07,-0.001887876549290013,0.0355,0.1003,-0.011200000000000002,0.3778,2.02,25.49,23.27,11.46,5.43,0,111.44,2038541
"Chipotle Mexican Grill, Inc.",CMG,1046700,48.67,0,204810000.0,8.21,2.42,11.89,0.77,408.83,12300000000.0,-0.05407759676052348,0.37,555.34,-0.0007062811940861113,0.045899999999999996,0.061799999999999994,-0.2118,0.2115,8.73,52.08,35.96,3.13,5.24,1,402.74,543944
Cummins Inc.,CMI,1444680,41.04,2.68,2310000000.0,7.98,2.18,9.32,8.23,144.58,25710000000.0,-0.017610724142462897,-47.43,18.58,-0.006636877382047657,0.0576,0.1483,-0.0046,0.6394,3.71,18.97,16.41,1.46,2.76,1,133.16,1263443
CMS Energy Corporation Common S,CMS,1862750,15.23,3.08,2000000000.0,2.17,0.38,2.33,1.98,42.08,12080000000.0,0.04246925040612659,2.61,21.83,0.001624506846135798,0.027000000000000003,0.0311,-0.0655,0.12789999999999999,2.83,19.92,18.55,1.88,2.76,1,41.92,1827951
Centene Corporation,CNC,1757720,34.29,0,1890000000.0,4.69,1.24,5.28,3.43,64.23,11620000000.0,0.1131725417439704,0.96,19.72,-0.007135721421435703,0.0527,0.06860000000000001,-0.10529999999999999,0.3522,2.04,14.42,12.80,0.32,2.87,1,63.27,3389678
Capital One Financial Corporati,COF,2861610,98.27,1.74,0.00,7.92,1.96,8.91,6.89,88.44,44390000000.0,0.09291790962324598,1.35,13.32,-0.001878245497735076,0.0381,0.16010000000000002,-0.0025,0.5821999999999999,0.92,11.59,10.30,2.30,4.60,1,79.14,4044661
"Coach, Inc. Common Stock",COH,3374720,10.02,3.53,898900000.0,2.14,0.50,2.34,1.82,36.39,10890000000.0,0.11934048678356457,1.80,21.31,0.006281078251766603,0.0667,0.0479,-0.1119,0.1394,3.81,18.14,16.59,2.36,2.25,1,37.05,241099
"Rockwell Collins, Inc. Common S",COL,1289840,16.85,1.41,1220000000.0,5.40,1.38,5.79,5.59,91.37,12230000000.0,0.05859709153122328,2.59,16.70,-0.0013900769888793851,0.0229,0.0702,-0.032,0.19,5.55,17.31,16.14,2.32,5.19,1,87.33,839869
"Cooper Companies, Inc. (The)",COO,518235,55.34,0.03,610150000.0,9.21,2.26,10.34,5.59,183.67,9560000000.0,0.0017354907865856362,1.59,35.05,0,0.0667,0.0904,-0.0006,0.4169,3.54,21.27,18.95,4.86,3.94,1,179.67,0
Costco Wholesale Corporation,COST,2153800,27.25,1.02,5030000000.0,5.90,1.36,6.55,5.48,165.58,77240000000.0,0.0029587482219062267,2.87,32.09,-0.0015931721194879511,0.0621,0.11320000000000001,-0.0036,0.2691,6.45,29.81,26.85,0.65,3.75,0,157.97,2425236
Campbell Soup Company,CPB,1787630,4.83,2.39,1370000000.0,3.07,0.53,3.23,1.61,62.12,17890000000.0,-0.0383693045563549,3.60,36.44,-0.05675459632294155,-0.058600000000000006,0.0046,-0.1386,0.1121,12.94,19.05,18.11,2.41,6.05,1,58.21,6122699
