.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,TwoHundreddayMovingAverage,Volume
Ameren Corporation Common Stock,AEE,1470870,29.28,3.20,2300000000.0,2.77,0.62,3.01,2.68,54.89,13440000000.0,-0.016777918094894484,3.39,20.66,0.0007216308858017939,0.009000000000000001,0.0699,-0.021,0.19640000000000002,1.89,19.99,18.40,2.29,4.71,51.76,510090
American Electric Power Company,AEP,2300680,35.38,3.49,5290000000.0,3.65,0.89,3.89,1.24,66.85,33430000000.0,0.016386182462356125,7.74,54.69,0.0004428697962799433,0.0169,0.07,-0.046799999999999994,0.1743,1.91,18.62,17.48,2.03,2.21,63.53,2427390
Aetna Inc. Common Stock,AET,2976350,50.84,1.55,6200000000.0,8.88,2.40,9.80,6.41,129.54,45210000000.0,0.07308019488051953,1.09,20.05,0.012296032789420819,-0.0077,0.0449,-0.0583,0.22899999999999998,2.54,14.48,13.12,0.72,4.42,123.01,1819564
AFLAC Incorporated Common Stock,AFL,2202590,50.47,2.36,4780000000.0,6.42,1.62,6.73,6.42,72.39,29660000000.0,-0.012375900992792066,1.66,11.51,0.0013599891200870573,0.0206,0.0431,-0.0083,0.111,1.46,11.51,10.98,1.29,3.46,70.83,3067183
Allergan plc Ordinary Shares,AGN,3051060,212.79,1.17,6100000000.0,16.04,4.07,17.90,38.18,239.64,78570000000.0,0.1378054461525431,1.07,6.14,-0.004785499512980129,-0.022000000000000002,0.058899999999999994,-0.10289999999999999,0.2704,1.11,14.62,13.09,5.43,2.69,221.34,2641296
Apartment Investment and Manage,AIV,1073180,10.64,3.27,570960000.0,0.53,0.13,0.59,2.67,44.61,7020000000.0,0.05920610002242643,11.69,16.74,-0.0011213276519399518,0.002,0.0192,-0.067,0.1421,4.19,84.34,75.76,7.18,3.42,43.86,1027000
"Assurant, Inc. Common Stock",AIZ,383369,73.26,2.29,1040000000.0,6.21,1.58,7.17,9.13,96.87,5200000000.0,0.04277223519422635,0.70,10.24,-0.006474209297389066,-0.0351,0.0138,-0.0775,0.1918,1.29,15.05,13.04,0.70,4.78,92.20,175493
Arthur J. Gallagher & Co. Commo,AJG,878613,20.17,2.81,868800000.0,3.03,1.06,3.39,2.32,56.53,10030000000.0,0.04530916844349675,1.62,24.20,-0.0024875621890547706,-0.0067,0.060899999999999996,-0.028900000000000002,0.27899999999999997,2.79,18.53,16.56,1.82,5.02,52.93,560459
"Akamai Technologies, Inc.",AKAM,2099130,18.61,0,707980000.0,2.72,0.65,3.11,1.79,62.07,10230000000.0,0.22662359741584504,1.58,32.98,-0.000850051003060126,-0.048799999999999996,-0.07980000000000001,-0.1759,0.2351,3.16,21.71,19.05,4.35,4.17,64.16,503238
Albemarle Corporation Common St,ALB,1011670,33.73,1.24,702010000.0,4.18,1.05,4.84,5.68,104.10,11830000000.0,0.0721590366051803,2.73,18.48,-0.006499092038612209,0.0091,0.1429,-0.0233,0.6286999999999999,3.10,25.13,21.70,4.40,3.39,91.92,410924
"Alaska Air Group, Inc. Common S",ALK,1325790,23.77,1.39,1820000000.0,7.95,2.38,8.61,6.54,93.56,10680000000.0,0.2736163847658497,1.17,13.23,0.0006903693476010275,-0.0754,-0.0016,-0.1471,0.5870000000000001,3.66,10.95,10.05,1.81,7.08,86.65,756452
Allstate Corporation (The) Comm,ALL,1781920,51.44,1.69,3460000000.0,6.23,1.23,6.89,4.67,81.65,29300000000.0,0.06490797546012272,0.87,17.18,-0.008711656441717675,-0.0171,0.0703,-0.0342,0.2469,1.58,12.88,11.65,0.81,2.08,74.98,1087115
Allegion plc Ordinary Shares,ALLE,732597,1.19,0.85,478900000.0,3.69,1.00,4.10,2.36,74.61,7250000000.0,0.06113078840351571,1.57,32.18,-0.0032795487340941953,0.0179,0.1023,-0.0073,0.2354,64.11,20.58,18.52,3.25,3.09,68.89,441814
"Alexion Pharmaceuticals, Inc.",ALXN,1929700,38.81,0,1170000000.0,5.23,1.28,6.69,1.76,122.66,26550000000.0,0.36076748295884875,1.20,67.17,-0.006395691323739849,-0.0362,-0.054000000000000006,-0.2702,0.0834,3.06,22.60,17.67,8.65,1.71,124.97,1007797
"Applied Materials, Inc.",AMAT,9146220,7.12,1.07,2990000000.0,2.66,0.66,2.85,1.94,38.19,40930000000.0,0.07180431351920036,0.65,19.50,-0.00604944765912685,-0.0076,0.1309,-0.048,0.9476,5.34,14.25,13.30,3.47,1.37,33.51,4444865
"AMETEK, Inc.",AME,1691400,14.20,0.68,1010000000.0,2.44,0.62,2.67,2.19,54.04,12390000000.0,0.10116731517509736,2.04,24.65,-0.0035204743375949477,-0.0011,0.0731,-0.027000000000000003,0.24719999999999998,3.80,22.12,20.22,3.23,3.04,50.30,1211643
"Affiliated Managers Group, Inc.",AMG,502184,63.84,0.50,835000000.0,14.80,3.35,16.52,8.57,163.48,9180000000.0,0.19641332194705363,0.78,18.90,-0.009393680614859012,-0.0096,0.06280000000000001,-0.09970000000000001,0.2409,2.57,10.94,9.80,4.24,2.48,152.34,233592
Amgen Inc.,AMGN,3810080,40.4700,2.8500,11940000000.0,12.3100,3.1000,12.7300,10.2400,170.3390,118730000000.0,0.14607365369193737,2.0200,15.7439,-0.001110357164888054,-0.053549,0.016055,-0.124817,0.206357,4.0057,13.0858,12.6445,5.1927,2.9300,158.6700,1781953
"Ameriprise Financial, Inc. Comm",AMP,1105200,40.66,2.38,2770000000.0,10.67,2.62,12.06,7.81,129.92,19500000000.0,0.10450097847358109,0.80,16.21,-0.009628180039139012,-0.0258,0.0956,-0.0638,0.4905,3.14,11.86,10.50,1.68,2.26,115.53,842171
American Tower Corporation (REI,AMT,2125360,15.837,2.020,3460000000.0,2.760,0.670,3.430,1.980,118.017,53290000000.0,0.07444668008048283,1.740,63.008,-0.0016096579476861939,0.057089999999999995,0.13113,-0.0018,0.25105,7.846,44.715,36.372,9.174,3.460,110.292,1469040
"Amazon.com, Inc.",AMZN,3298220,40.43,0,11670000000.0,7.24,1.88,12.44,4.90,866.69,431990000000.0,0.07511169746892987,4.22,184.76,-0.00110865974123886,0.0446,0.1104,-0.0199,0.5109,22.31,125.04,72.77,3.17,2.09,815.30,2163503
"AutoNation, Inc. Common Stock",AN,1114490,22.95,0,970700000.0,4.01,1.02,4.45,4.15,43.21,4179999999.9999995,0.24522687825440115,0.90,9.98,-0.006198859409868529,-0.04190000000000001,-0.1116,-0.23550000000000001,0.057999999999999996,1.76,10.32,9.30,0.19,6.75,46.60,2038823
"Anthem, Inc. Common Stock",ANTM,1712850,95.17,1.58,5780000000.0,11.58,3.35,12.77,9.21,166.08,43980000000.0,0.06199832275068884,1.29,18.06,0.018329938900203624,0.0017000000000000001,0.1265,-0.0259,0.4486,1.75,14.37,13.03,0.52,4.07,147.69,966361
Aon plc Class A Ordinary Shares,AON,1021850,20.90,1.12,2390000000.0,6.31,1.37,7.85,5.16,117.98,31230000000.0,0.041579168416631784,2.09,23.05,-0.005291894162116728,0.008,0.044800000000000006,-0.0123,0.1827,5.70,18.85,15.15,2.69,1.72,113.82,385800
"Air Products and Chemicals, Inc",APD,1487850,32.91,2.83,3130000000.0,6.17,1.64,6.81,2.60,137.34,29380000000.0,0.10444575298100989,-72.57,51.99,-0.0060356249079936974,-0.017,-0.0361,-0.1026,0.1009,4.13,21.88,19.83,3.10,2.79,140.07,388011
Amphenol Corporation Common Sto,APH,1202430,11.92,0.93,1460000000.0,2.91,0.71,3.16,2.61,70.46,21520000000.0,0.029483676111031087,3.35,26.80,-0.0008629368617862898,-0.0072,0.0286,-0.0282,0.2732,5.83,24.04,22.14,3.40,3.90,68.00,1115581
"Activision Blizzard, Inc",ATVI,8018470,12.23,0.60,2140000000.0000002,1.95,0.32,2.37,1.28,48.69,36970000000.0,0.056967213114754056,1.54,38.41,-0.0036885245901638886,0.009899999999999999,0.1573,-0.024399999999999998,0.4656,3.99,25.22,20.75,5.55,2.58,42.49,2028142
"AvalonBay Communities, Inc. Com",AVB,679140,74.07,3.09,1320000000.0,4.52,1.12,4.76,7.52,184.00,25910000000.0,0.006567448758010741,8.72,25.08,-0.0015359355966314547,0.0252,0.0788,-0.019,0.19149999999999998,2.55,41.73,39.63,12.64,7.61,174.87,553615
Avery Dennison Corporation Comm,AVY,730355,10.48,2.06,740300000.0,4.44,1.19,4.87,3.54,80.22,7110000000.0,0.07286087931249208,1.85,22.80,-0.00211732469796988,0.0059,0.0687,-0.0172,0.1772,7.66,18.18,16.57,1.16,5.54,75.51,418743
"American Water Works Company, I",AWK,910876,29.30,1.91,1620000000.0,3.05,0.82,3.28,2.62,77.15,14170000000.0,0.019075290550783386,3.48,30.34,0.000757958564931771,0.0304,0.0789,-0.0673,0.16760000000000003,2.70,26.07,24.24,4.27,4.90,73.69,660760
American Express Company Common,AXP,4030730,22.68,1.69,0.00,5.63,1.42,6.27,5.65,78.66,68400000000.00001,0.06430155210643007,2.06,13.43,-0.0028694404591104172,-0.0352,0.0273,-0.0745,0.32789999999999997,3.38,13.48,12.10,2.31,3.84,73.87,1637103
Acuity Brands Inc (Holding Comp,AYI,851842,41.21,0.30,582300000.0,7.99,2.31,9.15,6.96,198.63,7650000000.0,0.14240018278402933,1.08,25.10,-0.001942080310732841,-0.12050000000000001,-0.21899999999999997,-0.37799999999999995,0.0305,4.25,21.86,19.09,2.23,6.01,223.68,478037
Boeing Company (The) Common Sto,BA,3365350,1.32,3.23,8680000000.0,9.36,2.39,10.25,7.61,178.69,108580000000.0,-0.0073176181432241805,1.28,23.30,-0.0024019662607530634,-0.0079,0.1127,-0.0454,0.449,135.21,18.94,17.30,1.16,3.26,159.32,2063821
Bank of America Corporation Com,BAC,95428704,24.04,1.34,0.00,1.75,0.46,2.12,1.50,24.06,239350000000.0,0.11573871109162659,1.18,15.20,0.013152126260412178,-0.053899999999999997,0.0562,-0.11779999999999999,0.8887999999999999,0.95,13.01,10.74,2.99,1.19,21.55,113925839
Baxter International Inc. Commo,BAX,2891770,15.36,0.98,1970000000.0,2.17,0.52,2.45,9.01,51.91,28490000000.0,0.015524422567209317,1.70,5.86,-0.002082544490723204,0.016200000000000003,0.0974,-0.0148,0.2494,3.44,24.31,21.53,2.81,2.80,48.07,1800806
Bed Bath & Beyond Inc.,BBBY,2329670,18.77,1.56,1430000000.0,4.51,1.02,4.35,4.58,39.32,5560000000.0,0.025240697371844867,1.40,8.39,-0.0036429872495445936,-0.022799999999999997,-0.0756,-0.2403,0.030600000000000002,2.05,8.89,8.83,0.46,6.11,41.56,1649109
BB&T Corporation Common Stock,BBT,4568090,33.14,2.82,0.00,3.10,0.78,3.49,2.77,45.83,34470000000.0,0.12305909617612976,2.60,15.39,-0.008806488991888628,-0.0697,-0.04190000000000001,-0.1451,0.298,1.30,13.75,12.22,3.41,3.09,44.50,4134347
"Best Buy Co., Inc. Common Stock",BBY,4523620,15.14,2.44,2580000000.0,3.68,0.59,3.91,3.81,46.15,15010000000.0,-0.02295285359801491,1.20,12.76,0.0,0.0524,0.1066,-0.0168,0.6888,3.20,13.20,12.42,0.38,6.77,43.89,2057286
"C.R. Bard, Inc. Common Stock",BCR,527786,22.98,0.42,1150000000.0,11.64,2.87,12.86,7.03,248.84,17980000000.0,0.0007163323782235498,1.88,35.50,-0.003701050620821378,0.003,0.0825,-0.0106,0.2257,10.94,21.44,19.41,4.87,3.21,230.55,211372
"Becton, Dickinson and Company C",BDX,876382,35.63,1.60,3260000000.0,9.45,2.48,10.41,6.01,183.71,39030000000.0,0.028158295281582868,1.90,30.52,-0.00353337682104804,-0.0018,0.047400000000000005,-0.0147,0.1636,5.16,19.41,17.62,3.15,4.24,175.08,543967
"Franklin Resources, Inc. Common",BEN,2333090,21.15,1.97,2320000000.0,2.75,0.67,2.74,2.97,42.07,23590000000.0,-0.004592700024172003,-3.57,14.06,-0.005801305293690939,-0.008,0.0547,-0.0591,0.3655,1.96,15.17,15.23,3.64,3.77,39.56,1929059
Biogen Inc.,BIIB,1663480,56.23,0,6370000000.0,20.97,5.21,22.30,16.93,280.36,58580000000.0,0.14541142127349005,1.96,16.02,-0.00043787629994529453,-0.032400000000000005,-0.059500000000000004,-0.1869,0.2164,4.87,12.96,12.17,5.17,1.91,288.44,1027087
Bank of New York Mellon Corpora,BK,5108970,33.67,1.64,0.00,3.48,0.85,3.90,3.15,47.35,48680000000.0,0.10159404888416579,1.19,14.90,-0.0048884165781083455,-0.009000000000000001,0.0208,-0.0529,0.3135,1.40,13.48,12.03,3.20,1.48,45.96,3334264
"BlackRock, Inc. Common Stock",BLK,516590,178.383,2.640,4880000000.0,21.600,5.370,24.370,19.040,383.552,62220000000.0,0.1279572694111517,1.370,20.034,-0.005758207399687465,-0.00547,0.01698,-0.04507,0.20105,2.152,17.660,15.653,5.612,3.280,375.087,250683
Ball Corporation Common Stock,BLL,1326580,19.64,0.73,1340000000.0,4.21,1.13,4.99,1.63,73.49,12640000000.0,0.14937759336099576,1.89,44.31,-0.006224066390041583,-0.0171,-0.046900000000000004,-0.1217,0.0699,3.68,17.16,14.47,1.40,6.47,75.78,941304
Bristol-Myers Squibb Company Co,BMY,13149000,9.675,2.950,6700000000.0,2.800,0.690,3.060,2.650,55.642,88750000000.0,0.045892351274787524,1.600,20.021,-0.005099150141643083,-0.04650000000000001,-0.02913,-0.31205,0.15312,5.473,18.948,17.338,4.559,2.810,54.647,6033718
Boston Scientific Corporation C,BSX,7870810,4.94,0,2200000000.0,1.25,0.31,1.41,0.25,24.59,33320000000.0,0.14459788789601946,1.57,97.76,-0.0036555645816409577,-0.0059,0.0545,-0.0472,0.2611,4.98,19.55,17.33,4.00,1.76,23.18,3673026
BorgWarner Inc. Common Stock,BWA,1874910,15.16,1.47,1510000000.0,3.41,0.87,3.71,0.55,41.13,8260000000.0,0.1148683531233865,1.46,70.64,-0.008776458440888035,-0.0554,-0.002,-0.12179999999999999,0.4117,2.56,11.39,10.47,0.91,7.22,38.93,1626126
"Boston Properties, Inc. Common",BXP,766287,36.32,2.27,1530000000.0,2.41,0.63,2.93,3.26,133.95,20880000000.0,0.008256009351939708,20.90,41.64,-0.0024110469788851674,0.0134,0.0525,-0.0575,0.19390000000000002,3.77,56.32,46.33,8.22,2.87,128.97,501584
"Citigroup, Inc. Common Stock",C,18682900,75.86,1.10,0.00,5.16,1.33,5.90,4.96,59.84,160850000000.0,0.09815222919138833,1.55,11.77,-0.00695033056450256,-0.023700000000000002,0.0311,-0.06570000000000001,0.5249,0.78,11.32,9.88,2.54,1.35,56.66,16879886
CA Inc.,CA,2590130,13.492,3.220,1280000000.0,2.440,0.600,2.460,1.886,32.085,13330000000.0,0.02768166089965396,21.620,16.906,-0.002201950298836075,-0.00622,-0.00485,-0.08874,0.09494999999999999,2.356,13.068,12.961,3.295,6.350,32.040,625385
"ConAgra Brands, Inc. Common Sto",CAG,3064720,9.921,1.980,1860000000.0,1.720,0.420,1.880,1.375,40.710,17360000000.0,0.059317844784972706,1.810,29.669,0.00024715768660410475,0.00209,0.052750000000000005,-0.16506,0.21364999999999998,4.078,23.718,21.699,1.565,1.220,38.751,1927047
"Cardinal Health, Inc. Common St",CAH,1965200,17.91,2.20,3070000000.0,5.42,1.37,5.92,4.15,81.93,22840000000.0,0.018086276426738435,1.63,17.43,-0.11218379567395809,-0.1165,-0.046900000000000004,-0.17600000000000002,0.1545,4.57,13.36,12.23,0.20,5.06,75.95,13136660
D/B/A Chubb Limited New Common,CB,1304400,103.601,2.020,5690000000.0,10.360,2.530,10.910,8.870,137.419,64250000000.0,0.03705043780302475,2.630,15.552,-0.0028945654533613085,0.00383,0.04979,-0.01857,0.18255,1.334,13.367,12.644,2.045,4.060,131.402,710358
CBRE Group Inc Common Stock Cla,CBG,2419740,9.07,0,1200000000.0,2.39,0.53,2.55,1.69,34.79,10970000000.0,0.1240590183679613,1.28,19.52,-0.002408912978018596,-0.0518,0.054299999999999994,-0.10210000000000001,0.36829999999999996,3.66,13.86,13.04,0.84,4.38,31.29,126778
"CBOE Holdings, Inc.",CBOE,1310060,3.91,1.23,357260000.0,3.14,0.80,3.69,2.27,79.86,6660000000.0,0.03152385589094453,1.36,36.09,-0.0049902629016552735,0.0259,0.10769999999999999,-0.0084,0.3383,21.01,26.09,22.20,10.17,1.41,73.96,654064
CBS Corporation Class B Common,CBS,3076520,8.95,1.08,3100000000.0,4.43,1.01,5.11,2.81,67.69,28020000000.0,0.08946114915153314,0.93,24.35,-0.002828222685323234,0.0108,0.0892,-0.0239,0.3998,7.50,15.44,13.39,2.09,2.88,62.81,3055284
Crown Castle International Corp,CCI,2046690,20.96,3.96,2069999999.9999998,1.14,0.27,1.48,0.95,92.87,34900000000.0,0.06625129802699914,3.98,101.88,-0.0009345794392523477,0.042300000000000004,0.08710000000000001,-0.058600000000000006,0.2193,4.59,84.90,65.40,8.85,2.62,89.04,2008324
Carnival Corporation Common Sto,CCL,3222240,31.21,2.44,4980000000.0,3.70,2.13,4.25,4.06,57.65,42380000000.0,0.08518645227505983,1.15,14.38,0.0020526855969893454,0.0126,0.09449999999999999,-0.031,0.3593,1.87,15.78,13.73,2.57,5.89,53.33,4371520
Celgene Corporation,CELG,3801710,8.4760,0,4010000000.0,7.2300,1.7700,8.7900,2.4900,124.3430,95600000000.0,0.11969297193571604,0.7600,49.3496,-0.004717358279363482,-0.011762,0.058466,-0.037288999999999996,0.30142399999999997,14.7558,16.9959,13.9796,8.6649,2.0000,116.0930,2251871
Cerner Corporation,CERN,2735740,11.92,0,1320000000.0,2.50,0.62,2.76,1.85,57.20,19230000000.0,-0.0013610071452875294,1.64,31.52,-0.0003402517863219101,0.0194,0.07919999999999999,-0.1361,0.2404,4.93,23.32,21.13,4.12,8.97,54.03,1580213
"Citizens Financial Group, Inc.",CFG,5052310,38.09,1.68,0.00,2.31,0.57,2.70,1.97,35.87,17230000000.0,0.11733490566037719,0.88,17.18,-0.008254716981132115,-0.0567,0.0139,-0.1487,0.8451000000000001,0.89,14.65,12.53,3.54,1.71,33.38,3282943
"Church & Dwight Company, Inc. C",CHD,1964280,7.79,1.45,836700000.0,1.90,0.42,2.04,1.75,49.96,12910000000.0,-0.031982518871672805,3.39,28.97,-0.0003972983710767153,0.0149,0.08070000000000001,-0.0555,0.19140000000000001,6.46,26.68,24.85,3.67,4.92,46.92,1286791
"C.H. Robinson Worldwide, Inc.",CHRW,1236750,8.90,2.42,900800000.0,3.66,0.97,3.92,3.59,77.89,10640000000.0,0.008193471653231255,2.59,20.97,-0.0014536804546054771,-0.0334,0.0087,-0.0723,0.1482,8.50,20.57,19.21,0.81,12.95,74.64,1058162
Cigna Corporation Common Stock,CI,1373680,53.42,0.03,3850000000.0,9.53,2.45,10.89,7.19,150.60,38510000000.0,0.11272077793212953,1.20,20.84,0.0,-0.0052,0.0713,-0.032400000000000005,0.3024,2.83,15.72,13.73,0.98,0.98,139.85,1088258
Cincinnati Financial Corporatio,CINF,513761,42.95,2.84,913000000.0,3.00,0.57,3.11,3.55,72.69,11620000000.0,0.027932960893854775,-146.81,19.88,-0.00851955307262564,-0.029300000000000003,-0.037200000000000004,-0.11359999999999999,0.1047,1.67,23.52,22.69,2.16,8.05,73.29,674080
Clorox Company (The) Common Sto,CLX,908971,2.11,2.39,1220000000.0,5.33,1.49,5.72,4.99,136.26,17390000000.0,-0.028802013919739466,3.60,27.20,-0.0014067821708869666,-0.0048,0.0894,-0.0347,0.21899999999999997,64.13,25.44,23.71,2.95,4.63,124.47,657666
Comerica Incorporated Common St,CMA,1644670,44.469,1.410,0.00,4.020,0.980,4.810,2.680,69.600,11890000000.0,0.07948603018078582,0.730,25.226,-0.01718213058419249,-0.02866,0.05203,-0.0986,0.83609,1.505,16.817,14.055,4.527,3.170,64.261,2168540
Comcast Corporation,CMCSA,16372300,11.35,1.70,26480000000.0,1.89,0.47,2.17,1.78,37.42,178610000000.0,0.14139784946236555,1.67,21.06,-0.0005376344086022167,0.0046,0.0621,-0.022000000000000002,0.2611,3.28,19.89,17.32,2.20,4.72,35.39,23032043
CME Group Inc.,CME,1535020,60.14,2.28,2450000000.0,4.87,1.24,5.30,4.53,120.84,39770000000.0,0.10124318801089927,2.78,25.85,-0.004002043596730287,-0.030899999999999997,0.0115,-0.0823,0.2912,1.95,24.05,22.09,11.09,5.16,115.77,844853
"Chipotle Mexican Grill, Inc. Co",CMG,828355,48.674,0,204810000.0,8.140,2.400,11.760,0.770,426.061,13450000000.0,-0.13237140607376197,0.400,607.123,0.002362254995850188,0.09723000000000001,0.14737,-0.00866,0.32447000000000004,9.654,57.431,39.752,3.463,7.040,407.440,383929
CMS Energy Corporation Common S,CMS,1850020,15.23,2.97,2000000000.0,2.17,0.38,2.33,1.98,44.74,12780000000.0,-0.003732162458836341,2.80,23.10,0.00021953896816695462,0.0222,0.0806,-0.011200000000000002,0.17920000000000003,2.99,21.07,19.63,1.99,2.00,42.32,1187496
Centene Corporation Common Stoc,CNC,1809120,34.29,0,1970000000.0,4.70,1.23,5.29,3.43,70.06,12240000000.0,0.12881880895396325,1.01,20.76,0.001689427002675048,0.016,0.1197,-0.0581,0.4236,2.07,15.14,13.46,0.32,2.01,63.57,950745
"CenterPoint Energy, Inc (Holdin",CNP,2997650,8.03,3.83,2089999999.9999998,1.30,0.21,1.38,1.00,27.72,12190000000.0,-0.0393059490084986,3.55,28.30,0.0007082152974504652,0.0208,0.124,-0.005600000000000001,0.3832,3.52,21.77,20.51,1.62,3.86,25.18,3478540
Capital One Financial Corporati,COF,2611800,98.96,1.97,0.00,7.87,1.95,8.88,6.89,87.66,39330000000.0,0.19819277108433742,1.45,11.88,-0.005421686746987953,-0.0655,-0.0321,-0.1548,0.4118,0.84,10.41,9.28,2.09,3.27,84.64,2175065
"Coach, Inc. Common Stock",COH,3553180,10.02,3.40,898900000.0,2.15,0.50,2.35,1.82,39.41,11090000000.0,0.08131923464249757,1.86,21.68,-0.007301107754279945,0.0026,0.0596,-0.09609999999999999,0.1597,3.96,18.38,16.81,2.45,3.09,37.29,1651621
"Rockwell Collins, Inc. Common S",COL,1389990,16.85,1.37,1220000000.0,5.39,1.37,5.94,5.59,97.85,12700000000.0,0.08085673293707729,2.19,17.35,-0.0016396802623488416,-0.008100000000000001,0.0602,-0.0318,0.2357,5.79,18.01,16.34,2.42,6.99,91.54,1094514
"Cooper Companies, Inc. (The) Co",COO,390026,57.61,0.03,618150000.0,9.25,2.53,10.35,6.07,197.12,9600000000.0,0.06972841013121767,1.63,32.35,-0.003000712033363828,-0.0043,0.0702,-0.0317,0.2905,3.41,21.22,18.96,4.77,2.56,183.39,190533
Costco Wholesale Corporation,COST,2277290,28.34,1.07,5050000000.0,5.67,1.99,6.42,5.42,168.75,74680000000.0,0.07519151443724237,2.95,31.38,0.002062463170300566,0.008199999999999999,0.0588,-0.048,0.2278,5.99,30.01,26.50,0.61,2.76,160.68,712430
