AverageDailyVolume,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,Change_PercentChange,ChangeinPercent,DaysHigh,DaysLow,DaysRange,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,LastTradeTime,MarketCapitalization,OneyrTargetPrice,Open,PEGRatio,PERatio,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume,symbol
3297560,29.47,+0.74,-0.08,0.53,-3.41,13.17,+0.74 - +1.69%,+1.69%,44.58,43.72,43.72 - 44.58,3/14/2017,1.28,2.92,2.54B,2.86,0.68,3.08,2.16,44.55,4:00pm,25.93B,44.15,43.85,1.15,20.59,-7.12%,+1.69%,-0.17%,+1.22%,+42.08%,43.73,1.48,15.55,14.44,0.41,3.78,NYQ,43.94,4060952,ADM
2085490,8.4990,+0.1005,-1.6255,5.9711,-4.5495,16.4505,+0.1005 - +0.1011%,+0.1011%,99.6100,98.5400,98.5400 - 99.6100,4/1/2017,2.2800,2.3300,2.73B,3.6600,0.7000,4.0400,3.7220,101.1660,3:29pm,44.68B,100.0000,98.8900,2.3600,26.7438,-4.3707%,+0.1011%,-1.6068%,+6.3815%,+19.7984%,99.4400,11.7002,27.1969,24.6387,3.7042,3.3600,NMS,93.5694,1099556,ADP
589371,28.79,+1.18,0.47,11.71,-11.12,45.55,+1.18 - +0.51%,+0.51%,231.34,227.56,227.56 - 231.34,3/17/2017,2.08,0.92,1.57B,18.49,3.77,21.08,7.34,230.10,4:03pm,13.28B,249.43,228.80,1.03,31.41,-4.60%,+0.51%,+0.20%,+5.35%,+24.62%,229.39,7.97,12.47,10.94,1.85,5.39,NYQ,218.86,324898,ADS
2457370,4.77,-0.02,3.96,11.75,-0.59,39.18,-0.02 - -0.02%,-0.02%,84.93,83.54,83.54 - 84.93,,0.00,0.00,-130.10M,-0.56,-0.13,-0.12,-2.00,80.56,3:00pm,18.81B,83.69,84.28,-6.36,,-0.69%,-0.02%,+4.92%,+16.15%,+86.41%,84.54,17.74,,,8.55,5.07,NMS,72.77,1680787,ADSK
1243290,29.65,-0.11,0.19,2.13,-1.54,7.44,-0.11 - -0.21%,-0.21%,52.59,51.81,51.81 - 52.59,3/31/2017,1.76,3.33,2.29B,2.68,0.42,2.77,2.67,52.35,4:00pm,12.75B,52.36,52.14,3.37,19.65,-2.85%,-0.21%,+0.35%,+4.22%,+16.50%,52.65,1.78,19.60,18.97,2.19,5.64,NYQ,50.41,2209474,AEE
2390150,35.381,-0.155,-0.076,-0.306,-8.205,5.225,-0.155 - -0.245%,-0.245%,63.225,62.690,62.690 - 63.225,3/10/2017,2.360,3.690,5.44B,3.670,0.890,3.880,1.242,63.191,2:40pm,31.03B,67.030,62.930,11.700,50.817,-11.504%,-0.245%,-0.120%,-0.482%,+9.026%,63.270,1.788,17.198,16.267,1.899,2.170,NYQ,63.421,1342363,AEP
5158940,4.37,+0.07,0.03,-0.36,-1.76,2.24,+0.07 - +0.61%,+0.61%,11.58,11.35,11.35 - 11.58,2/15/2017,0.48,4.13,3.43B,0.98,0.28,1.11,-0.41,11.53,3:11pm,7.62B,12.43,11.38,4.33,,-13.21%,+0.61%,+0.29%,-3.00%,+24.03%,11.49,2.63,11.80,10.41,0.54,1.20,NYQ,11.92,2189447,AES
3074170,50.842,+2.585,6.633,9.177,-8.105,26.205,+2.585 - +2.055%,+2.055%,128.970,125.890,125.890 - 128.970,1/27/2017,1.000,0.820,6.20B,8.790,2.320,9.760,6.410,121.762,3:26pm,45.16B,139.560,125.890,1.040,20.030,-5.938%,+2.055%,+5.448%,+7.698%,+25.643%,125.810,2.475,14.607,13.155,0.701,1.370,NYQ,119.218,3573412,AET
2321710,50.47,-0.12,1.18,-0.08,-3.58,12.46,-0.12 - -0.17%,-0.17%,71.22,70.71,70.71 - 71.22,3/1/2017,1.72,2.46,4.12B,6.39,1.61,6.70,6.42,69.74,2:44pm,28.78B,71.62,70.87,1.62,11.05,-4.81%,-0.17%,+1.69%,-0.12%,+21.31%,71.04,1.41,11.10,10.59,1.28,3.06,NYQ,71.00,1082361,AFL
4591980,221.28,+0.31,27.55,26.21,-52.44,64.38,+0.31 - +0.12%,+0.12%,250.94,246.50,246.50 - 250.94,3/28/2017,2.80,1.14,6.11B,16.03,4.09,17.81,38.18,221.33,3:26pm,93.35B,268.74,249.10,1.12,6.52,-17.40%,+0.12%,+12.45%,+11.77%,+34.89%,248.57,1.12,15.52,13.97,6.40,4.36,NYQ,222.67,2570217,AGN
5317630,85.02,-6.20,-5.02,-1.41,-6.78,12.28,-6.20 - -9.27%,-9.27%,62.99,60.41,60.41 - 62.99,12/22/2016,1.28,1.95,5.33B,3.76,1.34,6.45,0.31,65.71,3:03pm,62.34B,72.00,62.54,0.50,197.69,-10.05%,-9.27%,-7.64%,-2.27%,+25.37%,66.89,0.79,11.37,9.41,1.29,2.91,NYQ,62.10,30371483,AIG
1205550,10.69,-0.28,0.05,0.72,-3.19,9.29,-0.28 - -0.62%,-0.62%,44.98,44.35,44.35 - 44.98,2/28/2017,1.44,3.15,573.94M,0.46,0.12,0.58,2.67,44.67,3:57pm,6.98B,47.46,44.76,13.04,16.75,-6.66%,-0.62%,+0.11%,+1.65%,+26.22%,45.00,4.21,91.27,77.10,7.21,4.37,NYQ,44.00,635409,AIV
416444,71.27,+0.51,0.46,6.43,-3.21,28.98,+0.51 - +0.54%,+0.54%,95.78,94.86,94.86 - 95.78,3/20/2017,2.12,2.28,1.04B,6.25,1.60,7.22,9.13,95.30,2:29pm,5.51B,97.75,94.86,0.56,10.49,-3.25%,+0.54%,+0.48%,+7.20%,+43.40%,95.25,1.34,15.32,13.26,0.73,5.16,NYQ,89.33,131683,AIZ
1066850,20.17,+0.26,2.51,5.03,-0.07,16.84,+0.26 - +0.47%,+0.47%,55.89,55.36,55.36 - 55.89,3/17/2017,1.56,2.83,861.17M,3.02,1.06,3.39,2.32,53.31,4:02pm,9.95B,58.38,55.56,1.59,24.06,-0.13%,+0.47%,+4.70%,+9.91%,+43.20%,55.56,2.75,18.48,16.47,1.79,3.92,NYQ,50.78,555638,AJG
1875850,18.64,+0.48,-4.08,2.94,-7.61,16.23,+0.48 - +0.76%,+0.76%,64.07,63.21,63.21 - 64.07,,,,788.76M,2.79,0.67,3.17,1.79,68.11,3:09pm,11.08B,71.80,63.30,1.59,35.77,-10.62%,+0.76%,-5.99%,+4.82%,+33.95%,63.55,3.41,22.95,20.20,4.70,4.65,NMS,61.09,955346,AKAM
829747,29.33,+1.15,-0.02,6.90,-3.55,42.30,+1.15 - +1.26%,+1.26%,92.88,91.02,91.02 - 92.88,1/2/2017,1.22,1.30,972.98M,3.52,0.95,4.06,1.91,92.36,2:25pm,10.39B,98.13,91.31,3.99,48.35,-3.70%,+1.26%,-0.03%,+8.07%,+84.53%,91.19,3.11,26.23,22.74,2.91,2.82,NYQ,85.44,729149,ALB
1271710,23.77,+0.66,3.97,18.80,-1.93,42.45,+0.66 - +0.69%,+0.69%,97.75,96.31,96.31 - 97.75,3/9/2017,1.20,1.23,1.83B,7.98,2.42,8.74,6.54,92.99,4:02pm,11.96B,107.88,97.11,1.17,14.83,-1.95%,+0.69%,+4.27%,+24.05%,+77.88%,96.30,4.05,12.07,11.09,2.00,5.94,NYQ,78.16,1448099,ALK
2096470,51.44,+0.91,5.22,9.70,-0.01,17.93,+0.91 - +1.14%,+1.14%,80.72,79.59,79.59 - 80.72,1/3/2017,1.32,1.71,3.46B,6.22,1.20,6.88,4.67,75.49,4:00pm,29.54B,81.67,80.00,0.91,17.28,-0.01%,+1.14%,+6.92%,+13.66%,+28.56%,79.80,1.55,12.98,11.73,0.80,2.65,NYQ,71.01,1811044,ALL
751836,1.22,+0.59,5.13,4.04,-1.82,13.70,+0.59 - +0.83%,+0.83%,71.85,70.84,70.84 - 71.85,3/31/2017,0.64,0.89,492.40M,3.69,1.01,4.08,2.36,66.54,2:47pm,6.85B,79.20,70.84,1.48,30.37,-2.48%,+0.83%,+7.71%,+5.98%,+23.63%,71.08,58.36,19.42,17.57,3.04,3.79,NYQ,67.63,569458,ALLE
2717520,37.980,+1.775,0.305,4.256,-30.725,22.155,+1.775 - +1.371%,+1.371%,131.790,129.050,129.050 - 131.790,,,,1.11B,4.630,1.310,5.540,1.640,130.970,2:26pm,29.40B,167.930,129.060,1.310,80.046,-18.966%,+1.371%,+0.233%,+3.351%,+20.303%,129.500,3.410,28.353,23.696,9.816,1.820,NMS,127.019,1846709,ALXN
10063100,6.70,+0.35,1.66,4.85,-0.27,18.80,+0.35 - +0.99%,+0.99%,35.74,35.26,35.26 - 35.74,3/15/2017,0.40,1.13,2.54B,2.46,0.63,2.63,1.54,33.92,3:42pm,38.30B,38.23,35.46,0.92,23.10,-0.75%,+0.99%,+4.89%,+15.80%,+112.04%,35.23,5.26,14.46,13.53,3.50,1.32,NMS,30.73,13364314,AMAT
2019150,14.15,+0.70,3.37,5.87,-0.12,11.00,+0.70 - +1.31%,+1.31%,54.40,53.62,53.62 - 54.40,12/21/2016,0.36,0.67,965.85M,2.44,0.63,2.44,2.19,50.91,3:50pm,12.50B,56.86,54.00,2.06,24.79,-0.21%,+1.31%,+6.63%,+12.13%,+25.42%,53.58,3.79,22.25,20.33,3.21,3.91,NYQ,48.41,1780232,AME
622686,65.81,+1.00,18.76,22.87,-11.17,44.04,+1.00 - +0.60%,+0.60%,169.56,167.92,167.92 - 169.56,2/23/2017,0.80,0.48,834.90M,14.68,3.33,16.36,8.57,149.91,2:22pm,9.28B,187.50,168.00,0.81,19.69,-6.21%,+0.60%,+12.52%,+15.68%,+35.33%,167.68,2.55,11.49,10.31,4.20,2.03,NYQ,145.81,331434,AMG
3618090,40.48,+3.00,13.77,11.90,-5.80,37.41,+3.00 - +1.79%,+1.79%,171.07,167.00,167.00 - 171.07,3/8/2017,4.60,2.74,12.00B,12.34,3.11,12.83,10.24,157.28,3:00pm,126.23B,183.88,167.32,2.01,16.70,-3.28%,+1.79%,+8.76%,+7.48%,+27.99%,168.05,4.15,13.86,13.33,5.39,1.58,NMS,159.15,1679604,AMGN
1132220,40.65,+1.07,12.80,23.19,-0.31,48.49,+1.07 - +0.84%,+0.84%,129.19,127.42,127.42 - 129.19,2/28/2017,3.00,2.41,2.76B,10.58,2.58,11.95,7.81,116.08,3:11pm,19.95B,136.89,128.05,0.81,16.50,-0.24%,+0.84%,+11.02%,+21.95%,+60.32%,127.81,3.14,12.18,10.78,1.69,1.72,NYQ,105.69,605250,AMP
2287310,15.76,+0.33,2.26,-2.27,-11.15,23.36,+0.33 - +0.31%,+0.31%,107.37,106.01,106.01 - 107.37,1/13/2017,2.32,2.20,3.31B,2.09,0.62,2.74,2.00,104.85,4:00pm,45.60B,129.80,107.09,1.54,53.61,-9.43%,+0.31%,+2.15%,-2.08%,+27.89%,106.78,6.78,51.25,39.09,8.23,3.14,NYQ,109.38,1362341,AMT
3782430,40.430,+4.135,33.091,52.738,-6.685,325.175,+4.135 - +0.494%,+0.494%,841.490,832.820,832.820 - 841.490,,,,12.30B,7.290,1.880,12.840,4.900,807.434,2:49pm,400.93B,927.260,834.000,3.040,171.536,-0.789%,+0.494%,+4.098%,+6.694%,+63.098%,836.390,20.687,115.298,65.461,2.934,1.610,NMS,787.787,1052302,AMZN
960929,22.95,-0.10,-3.07,-0.59,-6.72,8.15,-0.10 - -0.21%,-0.21%,47.83,47.06,47.06 - 47.83,,,,970.70M,4.03,1.03,4.47,4.15,50.50,4:02pm,4.79B,51.00,47.21,1.08,11.43,-12.41%,-0.21%,-6.08%,-1.24%,+20.75%,47.53,2.07,11.77,10.61,0.22,7.76,NYQ,48.02,929258,AN
1656920,93.41,-0.85,11.04,26.79,-3.41,47.62,-0.85 - -0.52%,-0.52%,164.67,161.76,161.76 - 164.67,12/21/2016,2.60,1.60,6.19B,11.58,3.37,12.81,9.21,151.43,2:59pm,43.66B,174.88,163.03,1.19,17.64,-2.06%,-0.52%,+7.29%,+19.75%,+41.46%,163.32,1.75,14.03,12.68,0.52,4.29,NYQ,135.68,2116844,ANTM
1050860,20.61,+0.73,3.41,5.03,-1.18,23.70,+0.73 - +0.63%,+0.63%,116.65,115.30,115.30 - 116.65,2/15/2017,1.32,1.14,2.42B,6.76,1.40,7.90,5.16,113.17,3:25pm,30.96B,121.92,115.74,2.29,22.59,-1.00%,+0.63%,+3.01%,+4.50%,+25.52%,115.85,5.62,17.74,14.76,2.65,1.85,NYQ,111.56,506283,AON
3176210,17.05,+0.09,-5.58,-4.22,-13.41,19.50,+0.09 - +0.16%,+0.16%,56.23,54.73,54.73 - 56.23,2/22/2017,1.00,1.74,2.76B,-0.95,0.26,1.43,-47.56,61.17,4:01pm,21.09B,65.59,55.08,5.51,,-19.43%,+0.16%,-9.12%,-7.06%,+54.03%,55.50,3.26,,38.87,4.28,6.92,NYQ,59.81,4959519,APA
4252390,22.16,-0.81,-2.42,4.29,-5.81,33.67,-0.81 - -1.19%,-1.19%,68.40,67.19,67.19 - 68.40,3/22/2017,0.20,0.29,2.15B,0.43,0.09,1.46,-5.90,69.94,4:00pm,37.20B,82.03,68.27,18.92,,-7.92%,-1.19%,-3.46%,+6.79%,+99.47%,68.33,3.08,157.02,46.25,4.46,2.33,NYQ,63.23,5560809,APC
1408390,32.91,+0.29,-1.05,1.71,-8.03,25.51,+0.29 - +0.20%,+0.20%,142.99,141.19,141.19 - 142.99,5/8/2017,3.80,2.71,3.13B,6.15,1.65,6.85,2.60,143.47,3:47pm,30.99B,150.90,141.67,-77.03,54.84,-5.34%,+0.20%,-0.73%,+1.22%,+21.82%,142.13,4.32,23.16,20.79,3.24,1.73,NYQ,140.71,1219997,APD
1197610,11.91,-0.11,1.25,3.65,-0.23,18.07,-0.11 - -0.16%,-0.16%,69.21,68.57,68.57 - 69.21,4/11/2017,0.64,0.93,1.46B,2.91,0.71,3.14,2.61,67.77,4:02pm,21.29B,69.73,68.85,3.36,26.44,-0.33%,-0.16%,+1.85%,+5.59%,+35.47%,69.13,5.80,23.72,21.98,3.39,3.69,NYQ,65.37,1463608,APH
5492980,11.580,-0.305,6.432,7.581,-0.945,12.465,-0.305 - -1.033%,-1.033%,29.520,29.080,29.080 - 29.520,2/25/2017,0.240,0.810,1.51B,1.090,0.280,1.480,-2.284,22.783,3:42pm,12.81B,27.200,29.340,1.180,,-3.133%,-1.033%,+28.230%,+35.042%,+74.418%,29.520,2.549,26.803,19.740,1.044,6.230,NYQ,21.634,4319660,ARNC
9189420,12.26,+0.25,5.86,4.59,-2.41,16.58,+0.25 - +0.56%,+0.56%,45.63,44.47,44.47 - 45.63,5/10/2017,0.26,0.55,2.29B,1.96,0.32,2.37,1.28,39.37,3:27pm,33.65B,50.63,44.72,1.42,35.34,-5.06%,+0.56%,+14.87%,+11.30%,+57.87%,44.98,3.67,23.08,19.08,5.06,2.66,NMS,40.64,8845727,ATVI
805419,74.06,-0.63,1.84,4.52,-14.46,19.51,-0.63 - -0.35%,-0.35%,178.61,175.76,175.76 - 178.61,4/17/2017,5.68,3.16,1.30B,4.57,1.15,4.73,7.52,175.99,4:01pm,24.42B,189.38,177.32,8.26,23.65,-7.52%,-0.35%,+1.05%,+2.61%,+12.32%,178.46,2.41,38.91,37.60,11.94,6.66,NYQ,173.31,637042,AVB
2891730,47.43,+0.66,14.15,29.03,-2.76,80.99,+0.66 - +0.32%,+0.32%,206.94,204.80,204.80 - 206.94,12/30/2016,4.08,1.99,5.01B,14.10,3.22,15.13,-4.75,191.84,4:00pm,82.19B,216.23,205.82,0.97,,-1.32%,+0.32%,+7.38%,+16.41%,+64.79%,205.33,4.33,14.61,13.61,6.19,1.63,NMS,176.96,1699156,AVGO
775658,10.27,+0.31,5.18,4.88,-1.24,17.03,+0.31 - +0.39%,+0.39%,79.93,79.06,79.06 - 79.93,3/15/2017,1.64,2.07,782.30M,4.43,1.19,4.86,3.54,74.42,2:11pm,7.17B,84.57,79.06,1.65,22.51,-1.53%,+0.39%,+6.97%,+6.53%,+27.22%,79.29,7.72,17.97,16.38,1.17,5.04,NYQ,74.72,227978,AVY
947663,29.43,+0.17,0.76,-0.60,-12.26,8.57,+0.17 - +0.23%,+0.23%,73.04,71.89,71.89 - 73.04,3/1/2017,1.50,2.04,1.52B,2.85,0.54,3.04,2.60,72.22,3:33pm,12.99B,78.92,72.47,3.43,28.08,-14.38%,+0.23%,+1.05%,-0.82%,+13.31%,72.81,2.47,25.61,24.01,3.95,4.58,NYQ,73.58,471382,AWK
4155340,23.23,+0.11,2.84,10.00,-0.58,26.22,+0.11 - +0.14%,+0.14%,80.10,78.67,78.67 - 80.10,2/10/2017,1.28,1.63,0.00,5.66,1.43,6.25,5.65,76.68,3:21pm,71.89B,80.72,79.79,2.16,14.07,-0.72%,+0.14%,+3.71%,+14.39%,+49.19%,79.41,3.42,14.05,12.72,2.39,3.10,NYQ,69.52,4518528,AXP
666031,39.50,+5.33,2.22,-27.02,-63.61,30.13,+5.33 - +2.51%,+2.51%,217.87,212.28,212.28 - 217.87,2/1/2017,0.52,0.25,586.20M,8.79,2.27,10.47,6.92,215.06,3:00pm,9.52B,237.91,213.88,0.96,31.40,-22.65%,+2.51%,+1.03%,-11.06%,+16.10%,211.95,5.37,24.72,20.75,2.73,3.36,NYQ,244.30,705121,AYI
332363,-66.12,+4.26,-19.73,-25.73,-79.49,26.96,+4.26 - +0.58%,+0.58%,740.66,734.14,734.14 - 740.66,,,,2.38B,45.53,12.09,50.53,41.85,759.78,2:34pm,21.18B,878.59,735.00,1.39,17.69,-9.70%,+0.58%,-2.60%,-3.36%,+3.78%,735.79,,16.25,14.65,1.96,6.70,NYQ,765.78,146850,AZO
3321040,1.32,+0.80,7.88,24.36,-0.70,56.79,+0.80 - +0.47%,+0.47%,169.95,168.35,168.35 - 169.95,3/3/2017,5.68,3.42,8.68B,9.29,2.33,10.11,7.61,161.42,4:00pm,103.69B,173.70,168.42,1.38,22.25,-0.41%,+0.47%,+4.88%,+16.81%,+50.48%,168.50,127.27,18.22,16.75,1.09,3.69,NYQ,144.94,4021255,BA
109745000,24.04,+0.52,1.73,5.77,-0.19,13.18,+0.52 - +2.16%,+2.16%,24.77,24.11,24.11 - 24.77,3/31/2017,0.30,1.30,0.00,1.73,0.46,2.09,1.50,22.85,4:00pm,258.49B,24.86,24.33,1.29,16.39,-0.77%,+2.16%,+7.59%,+30.64%,+115.61%,24.06,1.00,14.21,11.76,3.16,1.10,NYQ,18.81,150959887,BAC
3333360,15.953,+0.465,2.723,2.653,-0.735,12.065,+0.465 - +0.950%,+0.950%,49.580,48.580,48.580 - 49.580,1/3/2017,0.520,1.060,1.99B,2.170,0.520,2.450,9.008,46.702,3:41pm,26.88B,52.880,48.590,1.610,5.487,-1.465%,+0.950%,+5.830%,+5.672%,+32.294%,48.960,3.069,22.776,20.173,2.620,3.120,NYQ,46.772,1997421,BAX
2512230,17.82,+0.26,0.79,-1.82,-11.43,2.67,+0.26 - +0.63%,+0.63%,41.44,40.91,40.91 - 41.44,4/18/2017,0.50,1.24,1.50B,4.52,0.76,4.62,4.71,40.49,4:00pm,6.06B,41.88,41.02,1.50,8.76,-21.68%,+0.63%,+1.95%,-4.23%,+6.93%,41.02,2.30,9.13,8.94,0.50,5.93,NMS,43.10,1697076,BBBY
4892480,33.14,+0.32,1.65,6.33,-0.12,16.92,+0.32 - +0.67%,+0.67%,48.31,47.76,47.76 - 48.31,3/1/2017,1.20,2.57,0.00,3.10,0.78,3.47,2.77,46.54,2:20pm,39.01B,48.52,48.01,2.93,17.40,-0.25%,+0.67%,+3.55%,+15.12%,+54.11%,47.87,1.44,15.60,13.89,3.79,2.81,NYQ,41.86,2832112,BBT
5273460,13.613,+0.715,2.039,5.075,-3.395,17.245,+0.715 - +1.579%,+1.579%,46.100,45.260,45.260 - 46.100,12/29/2016,1.120,2.510,2.48B,3.280,0.490,3.470,3.350,43.966,3:34pm,14.44B,45.450,45.430,1.110,13.733,-6.872%,+1.579%,+4.637%,+12.400%,+59.962%,45.290,3.327,14.026,13.258,0.359,7.750,NYQ,40.930,3262974,BBY
589769,23.42,+1.59,9.16,19.82,-0.15,56.53,+1.59 - +0.66%,+0.66%,242.40,239.59,239.59 - 242.40,2/3/2017,1.04,0.43,1.17B,11.64,2.87,12.84,7.03,233.09,4:02pm,17.81B,249.13,239.77,1.82,34.46,-0.06%,+0.66%,+3.93%,+8.91%,+30.44%,240.66,10.27,20.81,18.87,4.76,1.47,NYQ,222.43,419549,BCR
1064090,35.63,+1.32,7.24,7.39,-1.67,38.03,+1.32 - +0.74%,+0.74%,180.49,177.92,177.92 - 180.49,3/31/2017,2.92,1.64,3.26B,9.43,2.47,10.40,6.01,172.85,4:00pm,38.33B,189.27,177.92,1.87,29.98,-0.92%,+0.74%,+4.19%,+4.28%,+26.77%,178.77,5.02,19.10,17.32,3.06,3.20,NYQ,172.70,850048,BDX
2442620,21.15,+0.64,2.32,5.15,0.00,12.18,+0.64 - +1.52%,+1.52%,42.74,42.06,42.06 - 42.74,1/13/2017,0.80,1.96,2.32B,2.68,0.64,2.67,2.97,40.42,3:11pm,24.16B,38.91,42.28,-2.83,14.41,+0.00%,+1.52%,+5.74%,+13.70%,+39.86%,42.10,1.99,15.95,16.01,3.71,4.06,NYQ,37.59,1646985,BEN
885247,3.33,+0.37,2.14,1.07,-4.21,3.78,+0.37 - +0.79%,+0.79%,47.61,46.88,46.88 - 47.61,4/3/2017,,,1.10B,2.44,0.00,,2.62,45.36,4:01pm,18.28B,,47.00,0.00,17.98,-8.14%,+0.79%,+4.72%,+2.30%,+8.65%,47.13,14.14,,,5.99,8.20,NYQ,46.43,618773,BFB
2868150,29.76,+0.00,-1.22,4.63,-7.09,23.34,+0.00 - +0.00%,+0.00%,61.70,60.97,60.97 - 61.70,2/17/2017,0.68,1.11,-121.00M,0.35,0.04,1.88,-6.31,62.72,4:00pm,26.16B,69.50,61.17,3.83,,-10.34%,+0.00%,-1.95%,+8.14%,+61.16%,61.50,2.07,175.71,32.71,2.66,3.66,NYQ,56.87,2247491,BHI
