AfterHoursChangeRealtime,AnnualizedGain,Ask,AskRealtime,AverageDailyVolume,Bid,BidRealtime,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,ChangePercentRealtime,ChangeRealtime,Change_PercentChange,ChangeinPercent,Commission,Currency,DaysHigh,DaysLow,DaysRange,DaysRangeRealtime,DaysValueChange,DaysValueChangeRealtime,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,ErrorIndicationreturnedforsymbolchangedinvalid,ExDividendDate,FiftydayMovingAverage,HighLimit,HoldingsGain,HoldingsGainPercent,HoldingsGainPercentRealtime,HoldingsGainRealtime,HoldingsValue,HoldingsValueRealtime,LastTradeDate,LastTradeDateTimeUTC,LastTradePriceOnly,LastTradeRealtimeWithTime,LastTradeTime,LastTradeWithTime,LowLimit,MarketCapRealtime,MarketCapitalization,MoreInfo,Name,Notes,OneyrTargetPrice,Open,OrderBookRealtime,PEGRatio,PERatio,PERatioRealtime,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PricePaid,PriceSales,SharesOwned,ShortRatio,StockExchange,Symbol,TickerTrend,TradeDate,TwoHundreddayMovingAverage,Volume,YearHigh,YearLow,YearRange,symbol
,,,,3297560,,,29.47,+0.74,-0.08,0.53,-3.41,13.17,,,+0.74 - +1.69%,+1.69%,,USD,44.58,43.72,43.72 - 44.58,,,,3/14/2017,1.28,2.92,2.54B,2.86,0.68,3.08,2.16,,11/14/2016,44.55,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,44.47,,4:00pm,4:00pm - <b>44.47</b>,,,25.93B,,Archer-Daniels-Midland Company,,44.15,43.85,,1.15,20.59,,-7.12%,+1.69%,-0.17%,+1.22%,+42.08%,43.73,1.48,15.55,14.44,,0.41,,3.78,NYQ,ADM,,,43.94,4060952,47.88,31.30,31.30 - 47.88,ADM
,,101.50,,2085490,95.06,,8.50,+0.21,-1.52,6.08,-4.44,16.56,,,+0.21 - +0.21%,+0.21%,,USD,99.65,98.54,98.54 - 99.65,,,,4/1/2017,2.28,2.33,2.73B,3.66,0.70,4.04,3.72,,12/7/2016,101.17,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,99.65,,4:00pm,4:00pm - <b>99.65</b>,,,44.73B,,"Automatic Data Processing, Inc.",,100.00,98.89,,2.36,26.77,,-4.27%,+0.21%,-1.50%,+6.50%,+19.93%,99.44,11.70,27.23,24.67,,3.70,,3.36,NMS,ADP,,,93.57,1579762,104.09,83.09,83.09 - 104.09,ADP
,,,,589371,,,28.79,+1.18,0.47,11.71,-11.12,45.55,,,+1.18 - +0.51%,+0.51%,,USD,231.34,227.56,227.56 - 231.34,,,,3/17/2017,2.08,0.92,1.57B,18.49,3.77,21.08,7.34,,2/13/2017,230.10,,,,,,,,2/15/2017,2017-02-15 21:03:00 UTC+0000,230.57,,4:03pm,4:03pm - <b>230.57</b>,,,13.28B,,Alliance Data Systems Corporati,,249.43,228.80,,1.03,31.41,,-4.60%,+0.51%,+0.20%,+5.35%,+24.62%,229.39,7.97,12.47,10.94,,1.85,,5.39,NYQ,ADS,,,218.86,324898,241.69,185.02,185.02 - 241.69,ADS
,,88.00,,2457370,82.59,,4.77,-0.18,3.80,11.59,-0.75,39.02,,,-0.18 - -0.21%,-0.21%,,USD,84.93,83.54,83.54 - 84.93,,,,,0.00,0.00,-130.10M,-0.56,-0.13,-0.12,-2.00,,3/22/2005,80.56,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,84.36,,4:00pm,4:00pm - <b>84.36</b>,,,18.77B,,"Autodesk, Inc.",,83.69,84.28,,-6.36,,,-0.88%,-0.21%,+4.72%,+15.93%,+86.06%,84.54,17.74,,,,8.55,,5.07,NMS,ADSK,,,72.77,2200824,85.11,45.34,45.34 - 85.11,ADSK
,,,,1243290,,,29.65,-0.11,0.19,2.13,-1.54,7.44,,,-0.11 - -0.21%,-0.21%,,USD,52.59,51.81,51.81 - 52.59,,,,3/31/2017,1.76,3.33,2.29B,2.68,0.42,2.77,2.67,,12/5/2016,52.35,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,52.54,,4:00pm,4:00pm - <b>52.54</b>,,,12.75B,,Ameren Corporation Common Stock,,52.36,52.14,,3.37,19.65,,-2.85%,-0.21%,+0.35%,+4.22%,+16.50%,52.65,1.78,19.60,18.97,,2.19,,5.64,NYQ,AEE,,,50.41,2209474,54.08,45.10,45.10 - 54.08,AEE
,,,,2390150,,,35.38,+0.02,0.10,-0.13,-8.03,5.40,,,+0.02 - +0.03%,+0.03%,,USD,63.33,62.69,62.69 - 63.33,,,,3/10/2017,2.36,3.69,5.44B,3.67,0.89,3.88,1.24,,2/8/2017,63.19,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,63.29,,4:00pm,4:00pm - <b>63.29</b>,,,31.12B,,American Electric Power Company,,67.03,62.93,,11.70,50.96,,-11.26%,+0.03%,+0.16%,-0.21%,+9.33%,63.27,1.79,17.25,16.31,,1.90,,2.17,NYQ,AEP,,,63.42,2068013,71.32,57.89,57.89 - 71.32,AEP
,,,,5158940,,,4.37,+0.07,0.03,-0.36,-1.76,2.24,,,+0.07 - +0.61%,+0.61%,,USD,11.59,11.35,11.35 - 11.59,,,,2/15/2017,0.48,4.13,3.43B,0.98,0.28,1.11,-0.41,,1/30/2017,11.53,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,11.56,,4:00pm,4:00pm - <b>11.56</b>,,,7.62B,,The AES Corporation Common Stoc,,12.43,11.38,,4.33,,,-13.21%,+0.61%,+0.29%,-3.00%,+24.03%,11.49,2.63,11.80,10.41,,0.54,,1.20,NYQ,AES,,,11.92,3350726,13.32,9.32,9.32 - 13.32,AES
,,,,3074170,,,50.84,+2.63,6.68,9.22,-8.06,26.25,,,+2.63 - +2.09%,+2.09%,,USD,128.97,125.89,125.89 - 128.97,,,,1/27/2017,1.00,0.82,6.20B,8.79,2.32,9.76,6.41,,1/10/2017,121.76,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,128.44,,4:02pm,4:02pm - <b>128.44</b>,,,45.17B,,Aetna Inc. Common Stock,,139.56,125.89,,1.04,20.04,,-5.90%,+2.09%,+5.48%,+7.74%,+25.69%,125.81,2.47,14.61,13.16,,0.70,,1.37,NYQ,AET,,,119.22,4766848,136.50,102.19,102.19 - 136.50,AET
,,,,2321710,,,50.47,-0.04,1.26,-0.00,-3.50,12.54,,,-0.04 - -0.06%,-0.06%,,USD,71.22,70.71,70.71 - 71.22,,,,3/1/2017,1.72,2.46,4.12B,6.39,1.61,6.70,6.42,,2/13/2017,69.74,,,,,,,,2/15/2017,2017-02-15 21:01:00 UTC+0000,71.00,,4:01pm,4:01pm - <b>71.00</b>,,,28.81B,,AFLAC Incorporated Common Stock,,71.62,70.87,,1.62,11.06,,-4.70%,-0.06%,+1.81%,-0.00%,+21.45%,71.04,1.41,11.11,10.60,,1.28,,3.06,NYQ,AFL,,,71.00,2264590,74.50,58.46,58.46 - 74.50,AFL
,,,,4591980,,,221.28,+0.75,27.99,26.65,-52.00,64.82,,,+0.75 - +0.30%,+0.30%,,USD,250.94,246.50,246.50 - 250.94,,,,3/28/2017,2.80,1.13,6.11B,16.04,4.09,17.81,38.18,,,221.33,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,249.32,,4:02pm,4:02pm - <b>249.32</b>,,,93.51B,,Allergan plc Ordinary Shares,,268.74,249.10,,1.12,6.53,,-17.26%,+0.30%,+12.65%,+11.97%,+35.13%,248.57,1.12,15.54,14.00,,6.40,,4.36,NYQ,AGN,,,222.67,3510848,301.32,184.50,184.50 - 301.32,AGN
,,,,5317630,,,85.02,-4.59,-3.41,0.20,-5.17,13.89,,,-4.59 - -6.86%,-6.86%,,USD,62.66,62.12,62.12 - 62.66,,,,12/22/2016,1.28,1.95,5.33B,3.76,1.34,6.45,0.31,,12/6/2016,65.71,,,,,,,,2/15/2017,2017-02-15 14:31:00 UTC+0000,62.30,,9:31am,9:31am - <b>62.30</b>,,,63.99B,,"American International Group, I",,72.00,62.54,,0.50,202.93,,-7.66%,-6.86%,-5.19%,+0.32%,+28.69%,66.89,0.79,11.67,9.66,,1.29,,2.91,NYQ,AIG,,,62.10,576010,67.47,48.41,48.41 - 67.47,AIG
,,,,1205550,,,10.69,-0.28,0.05,0.72,-3.19,9.29,,,-0.28 - -0.62%,-0.62%,,USD,44.98,44.35,44.35 - 44.98,,,,2/28/2017,1.44,3.15,573.94M,0.49,0.12,0.58,2.67,,11/16/2016,44.67,,,,,,,,2/15/2017,2017-02-15 21:01:00 UTC+0000,44.72,,4:01pm,4:01pm - <b>44.72</b>,,,6.98B,,Apartment Investment and Manage,,47.46,44.76,,13.04,16.75,,-6.66%,-0.62%,+0.11%,+1.65%,+26.22%,45.00,4.21,91.27,77.10,,7.21,,4.37,NYQ,AIV,,,44.00,777817,47.91,35.43,35.43 - 47.91,AIV
,,,,416444,,,71.27,+1.00,0.95,6.92,-2.72,29.47,,,+1.00 - +1.05%,+1.05%,,USD,96.25,94.86,94.86 - 96.25,,,,3/20/2017,2.12,2.28,1.04B,6.25,1.60,7.22,9.13,,11/23/2016,95.30,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,96.25,,4:02pm,4:02pm - <b>96.25</b>,,,5.53B,,"Assurant, Inc. Common Stock",,97.75,94.86,,0.56,10.54,,-2.75%,+1.05%,+1.00%,+7.75%,+44.13%,95.25,1.34,15.40,13.33,,0.73,,5.16,NYQ,AIZ,,,89.33,369670,98.97,66.78,66.78 - 98.97,AIZ
,,,,1066850,,,20.17,+0.26,2.51,5.03,-0.07,16.84,,,+0.26 - +0.47%,+0.47%,,USD,55.89,55.36,55.36 - 55.89,,,,3/17/2017,1.56,2.83,861.17M,3.02,1.06,3.39,2.32,,11/30/2016,53.31,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,55.82,,4:02pm,4:02pm - <b>55.82</b>,,,9.95B,,Arthur J. Gallagher & Co. Commo,,58.38,55.56,,1.59,24.06,,-0.13%,+0.47%,+4.70%,+9.91%,+43.20%,55.56,2.75,18.48,16.47,,1.79,,3.92,NYQ,AJG,,,50.78,567138,55.89,38.98,38.98 - 55.89,AJG
,,64.40,,1875850,63.55,,18.64,+0.35,-4.21,2.81,-7.74,16.10,,,+0.35 - +0.55%,+0.55%,,USD,64.10,63.21,63.21 - 64.10,,,,,,,788.76M,2.79,0.67,3.17,1.79,,,68.11,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,63.90,,4:00pm,4:00pm - <b>63.90</b>,,,11.05B,,"Akamai Technologies, Inc.",,71.80,63.30,,1.59,35.70,,-10.80%,+0.55%,-6.18%,+4.61%,+33.68%,63.55,3.41,22.90,20.16,,4.70,,4.65,NMS,AKAM,,,61.09,1371170,71.64,47.80,47.80 - 71.64,AKAM
,,,,829747,,,29.33,+1.57,0.40,7.32,-3.13,42.72,,,+1.57 - +1.72%,+1.72%,,USD,93.01,91.02,91.02 - 93.01,,,,1/2/2017,1.22,1.30,972.98M,3.52,0.95,4.06,1.91,,12/13/2016,92.36,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,92.76,,4:02pm,4:02pm - <b>92.76</b>,,,10.43B,,Albemarle Corporation Common St,,98.13,91.31,,3.99,48.57,,-3.26%,+1.72%,+0.43%,+8.56%,+85.37%,91.19,3.11,26.35,22.85,,2.91,,2.82,NYQ,ALB,,,85.44,1510466,95.89,50.04,50.04 - 95.89,ALB
,,,,1271710,,,23.77,+0.66,3.97,18.80,-1.93,42.45,,,+0.66 - +0.69%,+0.69%,,USD,97.75,96.31,96.31 - 97.75,,,,3/9/2017,1.20,1.23,1.83B,8.03,2.42,8.74,6.54,,11/10/2016,92.99,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,96.96,,4:02pm,4:02pm - <b>96.96</b>,,,11.96B,,"Alaska Air Group, Inc. Common S",,107.88,97.11,,1.17,14.83,,-1.95%,+0.69%,+4.27%,+24.05%,+77.88%,96.30,4.05,12.07,11.09,,2.00,,5.94,NYQ,ALK,,,78.16,1449146,98.89,54.51,54.51 - 98.89,ALK
,,,,2096470,,,51.44,+0.91,5.22,9.70,-0.01,17.93,,,+0.91 - +1.14%,+1.14%,,USD,80.72,79.59,79.59 - 80.72,,,,1/3/2017,1.32,1.67,3.46B,6.22,1.20,6.88,4.67,,11/28/2016,75.49,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,80.71,,4:00pm,4:00pm - <b>80.71</b>,,,29.54B,,Allstate Corporation (The) Comm,,81.67,80.00,,0.91,17.28,,-0.01%,+1.14%,+6.92%,+13.66%,+28.56%,79.80,1.55,12.98,11.73,,0.80,,2.65,NYQ,ALL,,,71.01,1811044,80.72,62.78,62.78 - 80.72,ALL
,,,,751836,,,1.22,+0.75,5.29,4.20,-1.66,13.86,,,+0.75 - +1.06%,+1.06%,,USD,71.99,70.84,70.84 - 71.99,,,,3/31/2017,0.64,0.89,492.40M,3.69,1.01,4.08,2.36,,12/13/2016,66.54,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,71.83,,4:02pm,4:02pm - <b>71.83</b>,,,6.87B,,Allegion plc Ordinary Shares,,79.20,70.84,,1.48,30.44,,-2.26%,+1.06%,+7.95%,+6.21%,+23.91%,71.08,58.36,19.47,17.61,,3.04,,3.79,NYQ,ALLE,,,67.63,1138203,73.49,57.97,57.97 - 73.49,ALLE
,,137.00,,2717520,132.25,,37.98,+2.50,1.03,4.98,-30.00,22.88,,,+2.50 - +1.93%,+1.93%,,USD,132.38,129.05,129.05 - 132.38,,,,,,,1.11B,4.63,1.31,5.54,1.64,,,130.97,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,132.00,,4:00pm,4:00pm - <b>132.00</b>,,,29.56B,,"Alexion Pharmaceuticals, Inc.",,167.93,129.06,,1.31,80.49,,-18.52%,+1.93%,+0.79%,+3.92%,+20.97%,129.50,3.41,28.51,23.83,,9.82,,1.82,NMS,ALXN,,,127.02,2610562,162.00,109.12,109.12 - 162.00,ALXN
,,35.50,,10063100,35.49,,6.70,+0.26,1.57,4.76,-0.36,18.71,,,+0.26 - +0.74%,+0.74%,,USD,35.74,35.26,35.26 - 35.74,,,,3/15/2017,0.40,1.13,2.54B,2.46,0.63,2.63,1.54,,11/22/2016,33.92,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,35.49,,4:00pm,4:00pm - <b>35.49</b>,,,38.21B,,"Applied Materials, Inc.",,38.23,35.46,,0.92,23.05,,-1.00%,+0.74%,+4.62%,+15.51%,+111.50%,35.23,5.26,14.43,13.49,,3.50,,1.32,NMS,AMAT,,,30.73,17354054,35.85,16.78,16.78 - 35.85,AMAT
,,,,2019150,,,14.15,+0.70,3.37,5.87,-0.12,11.00,,,+0.70 - +1.31%,+1.31%,,USD,54.40,53.62,53.62 - 54.40,,,,12/21/2016,0.36,0.67,965.85M,2.44,0.63,2.44,2.19,,12/5/2016,50.91,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,54.28,,4:02pm,4:02pm - <b>54.28</b>,,,12.50B,,"AMETEK, Inc.",,56.86,54.00,,2.06,24.79,,-0.21%,+1.31%,+6.63%,+12.13%,+25.42%,53.58,3.79,22.25,20.33,,3.21,,3.91,NYQ,AME,,,48.41,2007738,54.40,43.28,43.28 - 54.40,AME
,,,,622686,,,65.81,+2.65,20.42,24.52,-9.52,45.69,,,+2.65 - +1.58%,+1.58%,,USD,170.70,167.80,167.80 - 170.70,,,,2/23/2017,0.80,0.48,834.90M,14.68,3.33,16.36,8.57,,2/7/2017,149.91,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,170.33,,4:02pm,4:02pm - <b>170.33</b>,,,9.37B,,"Affiliated Managers Group, Inc.",,187.50,168.00,,0.81,19.88,,-5.29%,+1.58%,+13.62%,+16.81%,+36.66%,167.68,2.55,11.60,10.41,,4.20,,2.03,NYQ,AMG,,,145.81,566864,179.85,124.64,124.64 - 179.85,AMG
,,172.00,,3618090,171.26,,40.48,+3.74,14.51,12.64,-5.06,38.15,,,+3.74 - +2.23%,+2.23%,,USD,172.00,167.00,167.00 - 172.00,,,,3/8/2017,4.60,2.74,12.00B,12.34,3.11,12.83,10.24,,2/13/2017,157.28,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,171.79,,4:00pm,4:00pm - <b>171.79</b>,,,126.78B,,Amgen Inc.,,183.88,167.32,,2.01,16.78,,-2.86%,+2.23%,+9.23%,+7.94%,+28.55%,168.05,4.15,13.92,13.39,,5.39,,1.58,NMS,AMGN,,,159.15,4058646,176.85,133.64,133.64 - 176.85,AMGN
,,,,1132220,,,40.65,+1.06,12.78,23.18,-0.32,48.48,,,+1.06 - +0.83%,+0.83%,,USD,129.19,127.42,127.42 - 129.19,,,,2/28/2017,3.00,2.41,2.76B,10.58,2.58,11.95,7.81,,2/9/2017,116.08,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,128.87,,4:02pm,4:02pm - <b>128.87</b>,,,19.95B,,"Ameriprise Financial, Inc. Comm",,136.89,128.05,,0.81,16.50,,-0.25%,+0.83%,+11.01%,+21.94%,+60.31%,127.81,3.14,12.18,10.78,,1.69,,1.72,NYQ,AMP,,,105.69,815558,129.19,80.39,80.39 - 129.19,AMP
,,,,2287310,,,15.76,+0.33,2.26,-2.27,-11.15,23.36,,,+0.33 - +0.31%,+0.31%,,USD,107.37,106.01,106.01 - 107.37,,,,1/13/2017,2.32,2.20,3.31B,2.09,0.62,2.74,2.00,,12/23/2016,104.85,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,107.11,,4:00pm,4:00pm - <b>107.11</b>,,,45.60B,,American Tower Corporation (REI,,129.80,107.09,,1.54,53.61,,-9.43%,+0.31%,+2.15%,-2.08%,+27.89%,106.78,6.78,51.25,39.09,,8.23,,3.14,NYQ,AMT,,,109.38,1362491,118.26,83.75,83.75 - 118.26,AMT
,,842.25,,3782430,842.04,,40.43,+6.31,35.27,54.91,-4.51,327.35,,,+6.31 - +0.75%,+0.75%,,USD,842.81,832.82,832.82 - 842.81,,,,,,,12.30B,7.29,1.88,12.84,4.90,,,807.43,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,842.70,,4:00pm,4:00pm - <b>842.70</b>,,,401.97B,,"Amazon.com, Inc.",,927.26,834.00,,3.04,171.98,,-0.53%,+0.75%,+4.37%,+6.97%,+63.52%,836.39,20.69,115.60,65.63,,2.93,,1.61,NMS,AMZN,,,787.79,2963460,847.21,515.35,515.35 - 847.21,AMZN
,,,,960929,,,22.95,-0.10,-3.07,-0.59,-6.72,8.15,,,-0.10 - -0.21%,-0.21%,,USD,47.83,47.06,47.06 - 47.83,,,,,,,970.70M,4.03,1.03,4.47,4.15,,7/3/2000,50.50,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,47.43,,4:02pm,4:02pm - <b>47.43</b>,,,4.79B,,"AutoNation, Inc. Common Stock",,51.00,47.21,,1.08,11.43,,-12.41%,-0.21%,-6.08%,-1.24%,+20.75%,47.53,2.07,11.77,10.61,,0.22,,7.76,NYQ,AN,,,48.02,929258,54.15,39.28,39.28 - 54.15,AN
